time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8
0,87.973,87.042,66.355,62.306,121.848,31.897,26.052,23.209
20,88.844,76.741,59.623,64.188,121.375,30.244,23.32,18.904
40,93.27,79.658,64.656,59.279,121.592,27.885,28.206,17.616
60,68.973,65.121,51.355,50.935,95.147,20.712,14.639,15.141
80,42.504,53.118,36.929,34.304,59.623,14.077,17.216,18.514
100,44.406,52.538,27.549,30.415,53.259,13.359,18.546,16.881
120,38.717,42.708,29.685,30.743,53.17,15.814,15.082,14.927
140,49.989,46.594,33.737,37.641,56.375,19.09,17.392,14.763
160,51.964,48.196,29.422,33.554,56.016,16.468,21.227,14.791
180,50.708,46.663,30.105,36.205,59.342,19.66,20.351,17.938
200,52.629,47.951,30.817,33.219,62.891,20.179,21.753,19.164
220,54.342,44.54,33.971,36.679,61.674,23.981,21.887,12.684
240,54.612,49.484,36.56,40.281,71.616,20.814,22.196,13.599
260,65.074,51.846,38.645,44.556,67.739,23.237,23.99,15.35
280,58.614,47.996,39.478,39.007,71.652,16.423,22.598,18.345
300,62.951,52.402,36.683,40.926,72.181,21.699,20.526,14.418
320,58.837,54.471,38.17,40.344,75.263,26.583,20.918,15.153
340,60.21,52.087,41.592,39.618,76.589,22.058,20.629,15.859
360,67.094,54.636,40.257,39.321,77.132,24.096,23.649,17.819
380,69.551,52.208,42.638,38.232,75.386,26.442,26.289,13.435
400,74.565,49.759,40.089,34.951,75.578,26.833,21.062,12.147
420,77.172,52.587,42.6,35.73,78.286,17.25,25.464,14.339
440,73.951,53.304,43.616,34.424,71.71,22.917,23.443,11.825
460,79.109,56.047,42.446,36.953,82.69,21.853,23.082,12.503
480,73.094,56.583,49.958,33.924,81.348,20.782,17.072,16.232
500,72.714,51.319,46.359,34.819,77.199,20.66,19.701,12.559
520,73.458,48.94,54.377,35.333,69.272,23.808,21.237,16.424
540,75.857,49.536,50.522,32.672,73.781,17.481,20.082,9.316
560,73.56,52.004,44.565,32.116,83.52,22.929,14.32,14.537
580,71.444,54.721,43.27,35.44,80.788,21.513,25.351,11.847
600,78.431,50.118,51.339,27.621,83.509,17.449,17.062,16.316
620,69.723,52.391,48.938,31.136,77.558,18.571,25.268,16.085
640,65.824,50.574,45.629,27.042,78.011,20.314,13.907,13.203
660,65.237,54.632,42.728,27.181,70.201,16.641,19.691,13.627
680,69.232,53.609,48.788,23.386,72.346,19.115,14.794,11.441
700,67.482,47.6,47.147,27.817,75.031,18.705,12.144,11.571
720,67.125,54.656,43.853,26.632,79.638,16.981,16.742,14.808
740,70.877,51.714,43.567,30.732,73.542,19.679,16.588,15.633
