time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16
0,145.034,179.197,191.394,147.176,103.467,114.409,210.117,372.359,478.192,366.192,404.067,195.519,384.298,213.795,214.716,163.271
20,161.946,199.875,161.245,147.895,97.342,122.338,208.556,366.045,467.274,327.404,408.005,226.981,372.572,219,217.973,196.693
40,146.966,167.827,176.457,147.582,97.662,128.271,209.638,376.756,454.904,374.096,409.659,228.562,377,200.833,220.618,184.48
60,153.129,162.889,152.327,132.347,88.329,84.244,207.849,369.744,464.087,374.125,385.394,217.197,371.875,195.513,199.849,127.587
80,133.542,153.332,108.394,92.501,75.604,64.622,194.526,370.487,466.957,405.548,425.082,220.317,380.322,193.314,152.431,168.604
100,123.673,138.337,107.841,89.77,72.569,75.102,206.984,361.308,412.87,360.447,397.837,214.769,331.111,184.91,172.889,165.72
120,113.301,144.471,96.938,93.067,70.28,66.529,193.391,353.647,356.558,333.341,379.942,197.486,287.221,211.686,164.733,167.778
140,113.12,147.572,90.389,89.285,87.738,76.093,195.857,337.622,337.125,314.25,357.769,168.029,287.13,221.609,178.493,175.618
160,113.842,161.909,110.745,96.207,91.938,92.987,191.327,377.692,366.024,268.519,370.413,179.716,315.495,219.897,201.013,181.498
180,110.825,178.471,96.303,102.608,79.333,65.489,190.098,387.494,358.889,309.019,361.567,190.173,280.779,241.673,198.831,171.391
200,119.828,153.808,111.986,94.216,82.764,71.973,199.922,329.365,381.75,324.76,395.726,199.221,311.745,219.667,198.044,187.453
220,139.481,155.101,108.264,90.591,75.516,86.316,201.928,378.109,382.827,363.731,385.716,184.827,314.606,200.442,209.809,198.24
240,132.759,183.385,103.125,107.957,87.791,81.929,212.552,351.641,383.12,328.803,387.058,211.024,282.875,224.096,191.084,192.978
260,125.163,173.255,114.692,112.537,78.311,83.822,210.09,340.487,405.582,333.856,385.053,213.649,305.894,196.609,194.307,182.6
280,126.754,167.712,108.216,112.922,90.133,72.556,214.765,348.506,398.981,351.712,361.236,229.019,318.798,196.397,204.231,190.502
300,125.725,196.562,106.582,104.539,84.693,83.529,206.65,364.269,395.053,361.558,394.12,210.692,307.332,205.109,188.787,199.071
320,139.427,184.851,112.082,107.297,80.009,79.311,209.883,395.59,388.404,349.74,353.279,217.115,319.476,221.147,189.222,243.667
340,125.496,173.75,105.274,111.252,72.284,93.56,214.943,395.077,411.25,358.582,413.332,209.034,299.087,222.571,188.996,223.64
360,134.238,180.832,109.38,113.981,77.333,78.116,206.517,374.186,431.856,351.072,356.74,243.125,286.611,258.147,213.164,205.302
380,118.479,170.173,112.154,112.181,72.298,80.093,192.681,370.064,403.538,360.553,366.394,232.851,301.356,219.962,208.013,201.307
400,114.736,179.894,112.365,121.834,60.867,86.791,220.992,376.545,414.668,384.067,391.091,218.312,284.904,208.577,185.778,187.898
420,115.926,161.361,124.043,122.492,78.058,89.116,205.374,375.462,411.885,385.49,401.615,229.49,266.082,216.045,193.862,175.987
440,130.997,159.264,133.024,107.271,83.222,86.156,217.164,333.5,398.106,346.428,396.837,221.76,309.889,210.571,212.129,175.129
460,124.117,168.034,122.005,108.829,68.311,93.64,195.867,388.378,429.192,346.12,394.904,208.279,300.596,212.288,218.244,182.524
480,132.777,153.308,134.712,119.038,84.742,116.964,197.804,333.596,387.976,346.702,399.966,198.918,293.423,193.109,188.613,164.596
500,126.587,165.274,141.466,115.834,71.022,119.027,189.706,351.583,389.332,345.452,377.74,219.284,292.312,205.013,188.396,177.867
520,133.716,179.399,120.303,107.755,75.209,115.138,191.607,347.404,403.846,331.769,383.553,208.591,287.202,188.968,201.262,188.609
540,135.943,165.034,130.938,102.933,76.724,109.836,204.603,314.372,427.74,322.51,379.447,190.875,291.303,222.974,174.644,192.036
560,154.097,172.538,130.481,109.703,84.124,126.516,199.791,358.256,405.365,330.947,388.808,179.043,309.173,191.224,190.44,193.204
580,130.072,161.019,106.803,111.173,61.924,119.969,200.254,337.994,388.606,331.072,385.072,196.856,272.769,189.474,189.298,183.92
600,125.252,168.558,120.053,114.005,61.956,103.88,203.037,325.545,396.029,336.688,352.24,197.827,312.476,227.462,196.316,190.298
620,121.453,171.885,115.788,102.701,81.538,135.96,196.043,327.833,376.74,364.125,354.966,185.062,298.024,183.449,179.053,197.329
640,110.35,159.091,113.779,109.33,56.32,100.209,193.863,316.032,364.524,329.053,368.192,195.01,289.471,191.115,183.756,170.12
660,109.625,151.062,119.019,107.447,61.32,133.836,197.035,302.641,384.904,325.764,350.288,209.495,315.986,207.417,177.538,186.427
680,124.696,142.231,134.952,112.995,69.578,98.813,196.419,320.019,385.995,326.611,362.942,187.899,294.769,207.686,176.72,188.907
