time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10
0,919.462,746.365,1027.979,310.812,1109.822,440.892,799.087,754.212,604.006,771.066
1,883.093,729.494,1078.495,305.955,1102.356,544.649,804.072,732.801,617.751,789.007
2,882.898,713.577,1008.629,342.366,1037.662,521.081,899.232,722.269,680.322,811.292
3,893.409,734.872,1045.897,321.643,1028.858,463.649,895.304,692.327,679.175,771.92
4,932.676,714.955,1022.794,292.107,1007.796,442.378,981.594,677.327,694.322,794.628
5,936.476,746.814,981.722,348.75,1008.88,429.892,846.029,719.526,640.847,764.752
6,899.893,719.212,928.206,319.625,980.013,414.486,755.174,659.974,675.316,799.752
7,957.596,767.212,987.619,317.92,1008.484,369.73,640.159,657.192,674.531,785.832
8,914.982,735.051,978,308.696,1029.409,394.946,724.014,691.776,658.729,792.015
9,912.502,749.891,937.402,309.161,972.711,403.703,725.391,671.295,665.695,801.212
10,478.653,256.737,619.072,112.938,758.987,149.405,564.826,273.641,361.525,374.781
11,455.013,245.115,527.299,125.429,699.391,126.838,557.594,246.308,342.186,290.839
12,483.751,263.474,540.577,139.348,679.262,145.081,443.232,249.167,321.311,259.613
13,543.658,303.186,582.505,157.393,744.831,112.703,482.493,266.763,306.582,274.139
14,515.698,288.782,559.423,157.812,756.302,109.162,413.841,247.244,342.158,298.591
15,542.413,298.75,573.969,157.884,773.022,121.676,483.391,255.147,349.881,335.007
16,491.702,280.904,580.629,166.08,747.338,119.054,451.246,254.891,367.655,285.299
17,544.058,254.417,633.423,169.393,791.449,126.622,528.536,306.679,413.582,291.577
18,567.613,266.583,662.351,172.312,754.471,107.378,505.652,294.981,381.842,264.036
19,565.689,318.84,634.588,160.768,715.818,123.027,556.609,368.173,397.819,287.511
20,563.822,281.064,702.639,171.58,708.867,152.946,572.754,379.321,416.695,346.511
21,611.231,270.641,708.237,158.384,935.071,181.108,786.725,540.083,471.316,286.518
22,625.004,253.455,699.753,203.107,737.48,131.946,641.594,407.288,470.723,254.416
23,606.124,307.756,754.505,230.027,886.258,135.757,621.87,379.013,469.311,283.248
24,582.707,281.75,835.753,246.848,968.267,110.135,557.072,379.462,456.254,268.131
25,607.742,259.891,837.784,245.607,933.373,151.108,638.203,466.141,510.554,273.27
26,632.556,321.429,823.485,333.036,912.267,213.054,599.203,405.006,517.791,298.891
27,615.956,464.545,764.742,378.446,827.169,149.081,574.783,396.231,488.096,331.65
28,611.124,485.782,821.66,237.812,741.907,123.243,567.043,373.667,549.311,362.781
29,684.782,279.41,866.825,193.696,761.276,137.189,593.739,391.878,409.616,388.445
30,681.076,278.365,781.567,206.768,788.147,248.622,621.087,361.782,387.04,357.321
31,683.129,275.109,821.093,239.036,766.764,155.162,716.261,366.91,316.277,391.328
32,709.653,267.314,811.649,164.589,699.938,124.324,656.362,372.051,363.825,396.131
33,676.6,282.5,840.753,182.964,726.231,184.946,687.203,393.199,382.904,554.526
34,691.36,258.16,878.918,168.607,785.342,200.216,821.783,390.59,360.548,520.905
35,698.178,249.077,822.866,243.179,740.644,171.568,589.435,343.468,426.169,572.971
36,699.711,276.622,870.887,176.804,736.751,237.784,750.304,262.526,452.814,594.219
37,705.822,257.442,867.784,264.705,755.698,151.892,756.725,253.929,448.328,595.248
38,779.391,317.09,928.773,235.268,866.658,174.054,908.768,303.295,530.763,631.839
39,697.942,262.128,849.402,204.312,726.907,137.351,861.594,220.545,587.949,625.825
40,795.133,331.538,930.825,230.589,845.867,144.514,792.899,253.103,560.441,644.467
