time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10
0,1038.584,1395.454,1046.623,1861.87,847.853,4931.471,1942.955,1653.375,1825.173,1159.588
1,1046.328,1347.423,1031.913,1719.13,802.615,4842.048,1855.589,1578.125,1882.255,1196.713
2,1014.109,1300.165,1047.261,1752.739,861.981,4768.043,1915.625,1620.575,1795.327,1286.812
3,1031.255,1312.784,974.667,1650.391,813.596,4615.115,1746.036,1524.975,1828.269,1402.275
4,989.818,1334.753,1018.623,1667.986,882.891,4647.856,1805.714,1582.688,1869.038,1259.775
5,1015.029,1364.918,1013.188,1684.319,881.776,4663.072,1806.598,1471.612,1865.438,1406.138
6,838.474,1393.979,1006.464,1576.275,768.468,4655.788,1925.161,1624.675,1897.596,1340.588
7,726.226,1283.784,986.855,1710.188,798.609,4626.462,1783.616,1525.338,1887.909,1269.888
8,813.708,1317.082,1071.478,1603.884,807.519,4355.63,1839.696,1494.025,1787.005,1180.963
9,778.146,1261.557,1014.464,1586.58,758.66,4551.01,1786.911,1452.95,1782.913,1152.112
10,803.533,915.68,921.377,1372.652,744.09,3864.317,1694.286,1270.325,1598.495,932.125
11,842.314,613.062,758.957,1155.13,647.25,3094.043,1503.58,923.788,1381.019,689.788
12,881.358,542.165,762.652,1020.652,582.641,2579.62,1657.304,797.5,1295.433,554.413
13,915.65,565.33,727.594,842.333,635.026,2154.058,1541.464,689.55,1370.837,462.038
14,944.854,544.773,803.841,886.42,610.09,1930.111,1435.795,626.788,1353.697,558.325
15,918.46,568.887,790.957,787.362,656.609,1749.947,1445.277,663.337,1377.601,570.925
16,792.854,626.515,752.232,874.362,636.891,1693.139,1343.804,718.237,1546.899,571.087
17,895.555,648.01,790.565,822.449,684.641,1622.889,1368.232,676.3,1551.659,591.587
18,920.46,604.485,788.478,884.739,632.327,1597.543,1422.089,626.788,1572.418,706.975
19,884.372,554.691,820.406,858.71,608.904,1622.596,1541.223,645.513,1623.188,774.85
20,899.248,567.392,859.174,892.87,528.615,1599.933,1513.143,663.812,1666.337,797.962
21,848.927,629.454,855.536,862.217,571.404,1622.558,1586.688,733.7,1755.245,881.688
22,871.62,637.041,875.072,860.014,617.724,1709.135,1595.866,640.788,1817.673,897.163
23,838.679,617.103,910.406,892.13,643.122,1663.135,1587.875,641.275,1820.841,769.675
24,902.139,647.753,934.725,918.87,643.641,1752.447,1342.839,648.1,1933.712,614.95
25,882.336,656.784,882.841,831.652,665.673,1757.591,1266.634,679.913,1604.74,800.388
26,903.197,575.021,870.768,763.725,711.571,1804.606,1225.491,632.1,1678.577,1256.35
27,899.321,660.732,888.261,943.638,673.135,1683.457,1348.366,646.5,1718.51,833.138
28,880.752,861.412,942.188,888.014,707.237,1662.558,1379.571,739.25,1801.837,783.5
29,953.547,663.649,931.768,986.174,684.308,1640.163,1362.964,754.112,1941.769,692.612
30,882.737,791.639,949.565,889.855,658.231,1648.26,1213.911,755.925,2071.582,854.337
31,927.328,692.289,964.159,1179.739,629.237,1659.596,1337.777,745.288,2230.413,908
32,915.839,739.072,871.884,1004.812,644.846,1727.986,1444.196,694.15,1779.861,968.062
33,894.949,751.629,835.217,1004.725,647.897,1802.649,1555.357,723.087,1830.75,985.062
34,931.234,774.629,853.971,969.319,660.5,1802.005,1592.777,760.675,1730.76,949.538
35,953.307,801.289,949.928,1112.261,609.718,1684.875,1732.536,726.95,1713.13,970.038
36,993.81,777.299,947.696,1014.043,664.474,1681.389,1778.357,719.35,1651.49,1017.212
37,993.81,740.216,904.942,1296.623,676.955,2009.337,1864.134,819.075,1648.221,837.525
38,990.942,754.309,897.507,1166.377,718.128,2026.12,1731.696,691.538,1662.731,1016.65
39,1011.161,777.969,826.594,1247.116,697.058,2061.957,1673.83,817.013,1801.899,951.525
40,1011.161,811.598,921.449,1214.377,662.814,2214.385,1453.554,839.9,1880.312,941.562
