time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8
0,291.495,786.894,410.877,627.558,527.679,849.002,676.355,683.971
1,276.774,809.173,401.135,609.471,506.235,831.125,665.941,657.389
2,286.423,785.913,400.011,622.606,522.92,857.743,660.781,659.447
3,289.038,824.942,383.427,654.438,539.636,834.728,651.898,660.62
4,283.144,819.269,410.974,629.423,518.622,836.009,628.859,646.611
5,305.567,821.644,407.401,602.841,504.458,820.487,611.465,675.736
6,284.389,798.457,413.097,605.846,518.742,802.248,616.098,674.442
7,299.269,817.125,426.33,592.115,508.762,818.866,635.984,667.577
8,285.697,846.125,395.513,582.817,512.338,837.886,632.914,673.702
9,287.856,827.212,397.702,556.322,497.04,807.373,637.367,674.76
10,86.885,392.173,184.57,139.601,128.458,281.112,250.27,227.654
11,94.514,381.399,204.934,166.803,123.355,258.35,233.578,195.591
12,98.312,404.976,214.321,182.082,137.083,287.455,242.641,211.351
13,107.707,412.476,221.332,196.154,153.768,307.179,294.172,255.226
14,111.264,421.976,207.287,188.25,137.576,315.228,288.445,302.5
15,106.851,431.034,212.218,188.659,135.848,337.484,285.93,202.476
16,95.202,440.519,228.218,180.447,144.765,383.594,339.746,245.784
17,109.649,428.356,228.244,195.514,142.166,415.194,365.637,325.24
18,126.822,483.788,224.33,181.918,133.636,401.913,348.676,332.524
19,125.255,493.966,237.946,186.154,138.086,475.02,336.215,468.966
20,104.24,513.49,222.756,188.654,142.203,526.152,401.82,646.288
21,123.683,501.404,250.04,171.365,159.289,407.504,510.777,599.423
22,146.462,531.072,257.665,200.49,130.825,399.571,514.004,463.553
23,100.216,492.125,253.387,182.029,143.484,406.054,511.082,511.808
24,148.019,494.255,329.284,268.091,147.971,382.404,539.254,450.341
25,92.721,580.207,300.347,185.721,125.338,374.996,707.469,457.101
26,123.058,598.683,263.777,197.375,131.33,365.402,735.656,452.5
27,131.966,551.303,243.696,187.346,133.375,445.754,794.723,430.529
28,240.159,556.144,239.771,219.793,134.198,474.391,865.555,472.553
29,164.986,570.851,243.625,258.197,123.516,374.417,812.711,574.269
30,187.173,581.582,201.295,183.702,131.851,373.857,814.645,539.755
31,146.462,582.029,231.335,227.014,122.261,416.902,875.414,513.846
32,151.51,575.654,261.138,224.413,132.292,274.737,815.492,713.764
33,139.755,586.279,261.533,239.135,122.966,267.109,738.949,723.644
34,153.567,601.188,302.785,319.168,134.645,296.565,811.551,760.534
35,164.529,576,435.115,306.846,146.605,344.511,783.715,922.399
36,164.952,571.346,373.768,355.577,141.252,228.94,797.715,870.913
37,166.495,593.885,401.65,366.851,143.126,246.078,966.266,998.375
38,214.337,565.957,475.928,295.385,151.53,229.842,1040.137,1054.413
39,177.562,592.12,544.404,354.764,140.957,247.676,1103.648,1012.115
40,159.865,602.827,318.361,341.803,127.47,360.172,1114.676,1236.74
