time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8
0,1831.116,753.617,1896.759,2114.827,1731.072,1291.969,2718.582,3067.969
1,1784.018,749.927,1936.652,2105.071,1753.098,1323.372,2664.774,3048.147
2,1810.598,777.854,1892.33,2259.481,1771.161,1312.568,2649.803,3115.102
3,1748.732,782.402,1838.732,2183.494,1780.003,1306.349,2641.346,3119.669
4,1642.009,744.383,1925.107,2140.673,1729.355,1327.443,2627.582,3154.345
5,1659.268,765.997,1920.518,2172.609,1719.696,1272.221,2656.072,3181.997
6,1671.125,724.883,1904.679,2219.295,1738.626,1290.271,2629.976,2943.403
7,1758.554,765.835,1897.25,2056.301,1737.292,1354.268,2688.856,3032.099
8,1837.312,704.892,1854.589,2053.128,1716.328,1358.682,2598.163,3052.567
9,1803.125,745.003,1859.393,1985.936,1706.044,1284.43,2627.269,2643.413
10,1098.25,522.269,1282.58,1011.782,929.006,591.935,1719.226,1926.529
11,863.232,500.199,973.955,996.186,750.762,560.281,1528.337,1720.532
12,883.598,504.5,980.777,961.942,774.722,605.826,1440.245,1652.474
13,900.339,537.557,964.893,1000.724,819.905,637.089,1494.317,1545.573
14,792.375,524.573,965.455,1109.699,798.063,608.805,1496.51,1442.218
15,821.054,557.278,925.714,1040.109,794.286,700.695,1444.495,1405.573
16,742.991,604.858,924.562,965.481,777.743,741.482,1577.639,1381.898
17,798.911,588.807,908.866,1003.615,780.319,811.792,1688.856,1439.539
18,849.304,596.12,899.777,917.462,789.144,766.854,1613.49,1471.068
19,820.804,604.718,961.491,877.545,770.782,826.372,1706.865,1844
20,732.438,589.93,893.598,939.455,778.356,867.44,1941.966,1871.959
21,753.25,573.43,924.357,892.199,782.617,742.659,2103.111,2037.331
22,907.08,584.636,889.812,918.417,772.123,756.404,2066.923,1819.334
23,763.107,605.035,978.973,956.929,762.538,791.307,1925.284,2067.983
24,966.491,683.187,1078.393,1038.622,794.789,784.055,2263.245,1800.235
25,871.152,689.627,1112.768,945.186,782.02,736.346,2095.375,1964.618
26,907.929,703.266,1057.009,949.904,750.069,725.435,2415.288,1892.191
27,941.938,698.095,1140.839,997.987,775.836,858.255,2738.538,1734.246
28,987.045,705.665,1097.812,932.173,731.925,925.865,2759.288,1839.15
29,929.902,691.535,1115.268,1040.128,750.916,890.372,3072.635,1800.741
30,1094.964,656.136,1184.321,1029.064,766.573,939.536,3123.74,1709.068
31,1034.491,611.047,1505.964,1058.654,784.239,973.521,3027.255,1650.539
32,1036.839,612.794,1600.411,998.66,801.907,718.505,2845.183,1878.28
33,821.277,618.93,1638.116,1104.244,786.723,767.37,2708.793,1769.788
34,1013.259,601.323,1494.295,1113.981,773.081,776.75,2832.591,1821.369
35,1013.259,623.123,1725.795,1276.558,786.014,816.997,2626.38,2172.051
36,1145.545,636.801,1220.045,1274.481,792.244,643.047,2730.053,2117.765
37,941.696,629.054,1203.759,1137.538,803.402,651.839,2921.034,2078.126
38,881.402,610.402,1177.259,1129.295,836.356,614.299,2964.447,1920.765
39,1193.205,640.13,1117.607,1283.314,831.923,605.635,3136.962,2016.311
40,941.277,643.31,1168.036,1226.859,836.889,970.01,3342.361,2391.464
