time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6
0,629.677,653.784,421.651,229.409,315.573,777.716
1,509.701,510.24,429.91,241.582,325.987,795.464
2,519.172,497.233,439.563,242.481,320.023,766.688
3,509.09,498.078,432.853,227.346,326.323,781.156
4,525.894,505.565,430.439,234.505,326.182,809.122
5,542.11,506.998,449.031,231.784,368.961,886.279
6,522.256,500.753,449.819,219.038,314.547,782.69
7,539.266,504.815,454.304,222.298,341.854,742.008
8,564.182,508.404,428.29,286.519,331.669,748.023
9,528.714,506.926,413.513,224.135,323.065,739.917
10,202.528,414.77,105,55.856,94.435,438.797
11,248.008,500.385,123.945,63.942,119.536,477.648
12,269.775,535.734,147.143,68.221,111.086,398.083
13,323.755,553.349,135.276,68.562,108.823,420.417
14,314.082,537.976,133.746,73.399,125.208,424.083
15,323.403,544.359,147.264,74.567,144.154,441.635
16,320.247,557.501,127.304,71.769,184.792,448.24
17,328.624,555.936,142.088,113.659,141.221,459.607
18,329.935,566.784,136.249,88.543,119.555,465.573
19,334.004,583.221,139.466,70.245,127.359,498.763
20,356.624,563.097,139.853,81.322,141.234,509.43
21,338.084,618.689,137.439,69.163,167.339,496.422
22,350.346,610.093,167.981,67.139,127.755,535.812
23,347.487,691.558,144.879,63.611,120.552,529.99
24,323.254,631.848,140.238,61.788,119.315,530.638
25,332.145,582.38,152.789,62.558,115.422,546.169
26,337.233,631.487,163.551,68.793,127.044,554.076
27,341.708,656.188,154.848,65.418,134.333,566.846
28,345.489,684.819,155.658,87.351,117.427,547.945
29,344.344,700.558,157.523,83.303,122.318,563.651
30,342.417,660.701,165.886,75.106,141.966,641.31
31,350.783,741.729,168.093,71.389,136.034,585.672
32,345.89,636.337,164.295,62.601,133.177,582.719
33,359.078,609.432,161.998,142.096,136.451,584.635
34,425.409,619.014,176.876,64.038,140.904,563.93
35,347.178,546.876,168.772,63.548,133.167,579.404
36,326.926,458.489,185.285,75.125,181.802,658.982
37,357.415,363.765,179.644,78.322,151.057,563.635
38,367.411,370.39,167.219,77.082,156.24,574.753
39,343.687,378.869,173.544,78.659,171.992,563.141
40,364.611,365.594,183.872,94.062,166.518,545.328
