time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6
0,1250.961,1004.384,470.02,885.846,380.099,726.298
1,1216.346,1007.894,486.235,908.898,383.611,712.542
2,1228.799,1019.19,476.874,929.311,376.464,700.659
3,1161.268,998.061,442.636,877.782,352.962,691.599
4,1233.307,999.851,470.289,854.509,384.676,696.255
5,1221.023,1021.918,460.335,842.154,418.184,693.533
6,1212.404,1000.822,430.559,875.802,377.986,726.341
7,1207.102,1002.067,428.264,891.109,360.386,665.014
8,1214.833,995.115,434.158,851.386,381.208,652.39
9,1171.927,1004.951,438.636,836.051,357.788,707.47
10,842.872,952.73,222.289,396.563,220.3,624.977
11,771.948,1176.434,235.123,367.87,263.304,603.61
12,842.529,1245.501,240.215,373.993,216.198,611.327
13,898.609,1262.086,242.794,440.7,231.72,570.504
14,958.534,1253.583,237.719,420.829,286.273,593.579
15,948.146,1224.292,234.335,426.246,228.43,610.556
16,962.758,1257.552,265.476,437.263,271.877,630.441
17,1000.034,1221.166,249.327,414.334,271.058,599.954
18,922.427,1155.558,257.894,415.065,263.884,612.418
19,969.094,1164.407,260.481,391.638,263.181,593.871
20,1000.635,1146.499,272.963,429.092,252.922,570.974
21,939.935,1155.72,276.375,387.638,262.969,552.593
22,975.422,1132.301,281.229,411.014,268.98,591.903
23,951.083,1172.526,277.318,377.853,251.444,555.802
24,976.94,1127.736,287.158,404.147,248.843,573.811
25,945.362,1069.503,286.244,381.399,244.659,554.885
26,930.518,1078.528,274.831,384.754,248.403,541.355
27,928.909,1124.616,294.074,412.259,245.962,530.599
28,951.797,1050.389,292.473,390.485,281.843,575.269
29,921.19,1054.282,287.375,386.952,257.925,581.748
30,952.464,1001.734,283.183,391.71,261.365,561.633
31,937.128,971.45,276.567,374.618,311.782,614.352
32,952.534,1014.209,286.725,376.099,214.526,545.888
33,981.857,976.959,287.676,432.608,263.352,512.957
34,973.427,1000.679,276.908,363.362,267.59,557.312
35,989.203,995.652,272.562,391.222,271.522,523.444
36,988.297,969.143,307.295,410.737,263.765,513.822
37,977.307,943.235,327.496,444.747,257.543,563.679
38,1054.57,920.151,317.662,410.048,233.73,548.106
39,1026.096,911.728,347.536,435.375,283.287,538.252
40,1061.372,923.264,292.427,438.802,279.427,524.562
