time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6
0,1181.663,1037.34,1165.609,1242.255,962.379,1193.817
1,1118.062,943.278,991.129,1158.978,932.119,1240.587
2,1160.106,983.433,995.196,1169.109,942.333,1253.389
3,1147.433,983.392,1000.284,1205.591,948.537,1182.673
4,1199.99,1007.784,978.049,1205.175,974.322,1252.202
5,1232.582,1011.402,969.378,1218.131,1055.966,1334.788
6,1276.12,1028.825,966.836,1193.482,953.972,1222.923
7,1280.673,1052.268,923.707,1197.745,950.638,1121.51
8,1295.413,1057.649,960.591,1147.234,973.514,1153.077
9,1282.394,1036.485,953.658,1121.38,981.616,1180.942
10,377.827,273.062,221.062,310.62,300.305,351.236
11,354.62,268.938,225.942,289.482,321.689,356.654
12,365.942,278.371,266.204,327.664,333.667,322.024
13,368.99,304.464,273.076,333.599,322.616,374.933
14,372.88,302.784,271.333,311.898,320.26,364.466
15,392.043,304.155,273.151,335.964,318.271,324.034
16,409.341,291.742,257.898,296.92,318.864,340.048
17,392.846,325.082,275.84,309.022,329.373,333.125
18,438.471,304.072,313.751,286.905,345.65,336.183
19,410.74,312.299,381.018,308.226,310.859,345.101
20,399.76,336.505,351.204,312.613,320.644,370.663
21,455.005,370.433,515.013,361.949,307.949,341.375
22,425.438,362.01,328.733,295.496,304.475,341.952
23,437.625,323.381,308.053,309.394,336.011,370.226
24,477.346,317.237,384.378,306.08,327.723,414.423
25,517.615,351.557,355.542,328.328,333.158,394.019
26,496.149,363.392,360.52,318.372,324.91,385.293
27,517.562,332.186,264.444,368.781,351.983,423.462
28,511.245,359.495,323.587,380.518,368.701,443.808
29,504.37,364.804,325.049,376.277,357.944,436.562
30,545.438,404.804,294.938,389.62,378.316,454.692
31,540.322,366.732,260.036,350.723,366.503,392.875
32,564.418,349.948,325.276,359.088,349.079,465.524
33,584.909,338.773,300.671,322.372,362.153,505.447
34,608.952,336.928,397.071,347.861,362.78,465.889
35,549.538,349.722,304.676,351.387,358.492,471.534
36,573.692,383.34,370.84,356.226,369.695,421.812
37,650.798,379.485,462.702,356.547,408.299,527.534
38,698.625,424.464,443.378,390.416,412.04,503.433
39,597.038,355.619,348.404,384.949,388.565,480.197
40,708.812,424.546,345.64,380.547,401.61,410.995
