time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6
0,4802.878,4170.489,3512.855,5291.321,3527.944,4111.487
1,4674.103,4281.715,3486.996,5071.673,3577.062,4333.385
2,4568.897,4211.686,3662.598,5084.045,3620.401,4185.731
3,4587.462,4109.168,3556.629,5173.962,3566.763,4051.622
4,4767.417,4205.182,3532.816,4943.917,3557.266,3972.891
5,4704.897,4214.423,3587.371,5224.244,3585.469,4032.192
6,4727.981,4088.19,3578.219,5068.776,3657.362,4003.5
7,5001.468,4176.328,3562.051,5007.372,3755.169,3900.705
8,4759.429,4131.971,3445.355,4749.301,3609.345,3712.596
9,4669.346,4167.584,3545.766,4708.212,3721.107,3823.462
10,4464.923,4268.606,3385.5,4714.417,3830.39,3873.647
11,4642.679,3922.971,3447.875,4885.962,3988.345,3910.173
12,4563.897,4009.533,3344.66,4747.423,4080.616,3692.654
13,4747.295,4063.62,3543.824,4962.955,4031.271,3664.019
14,4785.756,4124.175,3607.48,5017,4038.192,3674.34
15,4904.987,4095.051,3598.383,5041.333,3980.011,3648.641
16,4813.474,4197.161,3560.289,4949.417,3765.475,3743.237
17,4750.282,4217.927,3575.5,5197.782,3877.881,3603.301
18,4624.083,4232.182,3595.508,5075.647,3766.333,3731.923
19,4627.545,4241.372,3529.637,5008.91,3659.299,3660.308
20,4652.192,4136.81,3550.746,4844.468,3589.718,3581.776
21,4536.577,4092.518,3516.699,5019.795,3682.169,3554.724
22,4640.205,3964.365,3603.477,4861.821,3551.288,3501.968
23,4521.865,4057.526,3587.73,4800.744,3517.96,3467.244
24,4426.622,3975.146,3626.066,4824.891,3447.881,3554.712
25,4293.346,4113.766,3573.59,4856.179,3443.26,3555.141
26,4285.179,3928.993,3661.723,4650.327,3420.52,3375.513
27,4350.321,4027.65,3669.875,4735.09,3409.226,3487.853
28,4351.974,4027.628,3679.035,4557.737,3501.797,3519.801
29,4168.686,3786.92,3776.848,4564.128,3480.441,3451.718
30,4241.532,3844.241,3631.203,4529.782,3497.073,3483.282
31,4242.519,3658.803,3652.348,4362.545,3302.689,3420.532
32,4373.468,3634.869,3717.891,4755.872,3211.469,3539.199
33,4344.603,3678.803,3649.898,4821.494,3279.475,3467.147
34,4355.058,3837.54,3740.371,4601.615,3287.469,3520.455
35,4372.545,3734.861,3690.43,4721.506,3266.051,3450.942
36,4333.353,3823.788,3807.426,4775.718,3464.379,3346.808
37,4296.5,3698.869,3736.305,4623.327,3340.983,3376
38,4262.731,3713.292,3584.738,4593.744,3356.972,3387.474
39,4172.385,3724.569,3665.527,4532.378,3421.96,3327.256
40,3986.551,3612.343,3633.797,4550.423,3438.734,3343.224
