time,cell 1,cell 2,cell 3,cell 4
0,1897.071,1215.035,1402.734,847.077
1,1857.427,1194.781,1459.006,829.083
2,1812.622,1172.812,1380.13,811.071
3,1784.836,1181.558,1424.994,840.506
4,1822.218,1189.524,1391.898,846.506
5,1808.107,1218.074,1383.429,830.724
6,1780.96,1184.427,1371.017,806.955
7,1735.951,1202.452,1329.802,787.782
8,1745.218,1216.258,1357.158,844.064
9,1717.791,1238.325,1299.147,834.34
10,675.378,316.939,1289.011,257.058
11,514.129,256.667,352.565,310.122
12,437.973,257.538,340.751,270.647
13,486.249,260.757,341.158,274.923
14,360.453,240.178,342.424,281.699
15,437.942,264.11,337.802,247.551
16,471.724,266.8,359.695,261.968
17,496.547,261.464,379.401,246.865
18,547.031,271.329,405.746,264.353
19,549.818,289.611,381.22,274.154
20,569.667,294.624,406.158,247.385
21,559.836,293.751,401.006,252.09
22,754.649,316.292,413.034,259.692
23,630.311,314.458,430.503,244.276
24,575.018,313.971,442.588,234.417
25,646.342,334.595,435.966,299.468
26,596.076,358.847,426.294,366.532
27,620.316,376.697,492.96,274.865
28,575.693,376.18,421.26,273.66
29,578.489,379.998,407.073,327.66
30,574.138,380.98,394.74,336.462
31,609.022,382.241,419.181,359.763
32,663.12,493.491,430.085,422.955
33,636.76,494.73,407.757,386.353
34,620.849,441.924,443.379,323.128
35,622.173,509.957,430.237,352.083
36,620.689,442.708,512.797,378.269
37,701.653,464.172,423.78,317.737
38,731.8,485.967,436.407,427.788
39,661.68,529.853,380.751,370.032
40,638.427,509.106,373.198,401.788
