time,cell 1,cell 2,cell 3,cell 4
0,2700.007,2510.206,4513.129,5003.977
1,2691.029,2507.738,4532.555,5020.464
2,2736.416,2431.309,4342.449,5014.074
3,2650.898,2432.001,4494.836,4987.862
4,2824.752,2453.859,4410.82,4972.57
5,2668.036,2423.945,4336.07,4854.779
6,2652.219,2436.654,4358.27,4870.209
7,2663.161,2473.71,4345.703,4820.98
8,2631.022,2444.298,4297.125,4922.235
9,2615.635,2450.123,4341.812,4917.845
10,2605.803,2445.683,4071.582,4732.507
11,2357.08,2334.463,4041.883,4817.828
12,2337.891,2309.393,3978.758,4853.424
13,2288.854,2362.836,3973.855,4806.642
14,2281.898,2217.725,3947.922,4712.96
15,2345.095,2293.856,3947.113,4700.097
16,2371.869,2261.489,3883.738,4713.266
17,2277.175,2276.021,3772.168,4694.221
18,2364.664,2262.222,3839.227,4590.688
19,2328.482,2238.485,3837.887,4546.453
20,2300.241,2226.341,3857.441,4452.507
21,2241.445,2186.57,3883.695,4443.636
22,2217.234,2182.488,3857.453,4605.266
23,2322.701,2202.69,3880.02,4525.636
24,2304.672,2218.042,3848.477,4516.375
25,2259.445,2204.794,3877.145,4541.9
26,2318.423,2186.357,3796.121,4474.822
27,2362.898,2149.575,3960.203,4414.16
28,2276.328,2207.869,3898.402,4562.226
29,2251.19,2233.589,3991.855,4660.524
30,2210.365,2194.461,3885.988,4697.885
31,2234.051,2187.67,3900.605,4436.427
32,2215.869,2257.733,3830.797,4482.143
33,2249.321,2202.958,3888.844,4535.871
34,2198.657,2204.11,3962.293,4431.983
35,2168.416,2158.974,3864.57,4533.08
36,2162.467,2232.582,3874.324,4494.02
37,2204.285,2209.863,3830.609,4350.845
38,2137.321,2199.382,3792.82,4444.837
39,2226.489,2132.567,3772.555,4549.917
40,2210.358,2167.654,3763.289,4518.923
