time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7
0,531.058,1208.925,751.788,727.588,520.054,1135.168,675.328
1,501.019,1129.437,764.513,669.531,500.714,1177.25,746.759
2,505.987,1204.109,778.782,667.085,501.161,1154.421,716.292
3,498.301,1263.379,749.34,663.655,517.018,1158.722,695.985
4,470.519,1241.488,752.782,695.107,478.009,1153.313,643.891
5,503.872,1292.311,772.231,663.282,487.652,1153.725,667.759
6,482.827,1277.468,764.455,676.525,475.018,1159.883,694.409
7,490.404,1243.819,746.596,704.232,501.464,1160.535,717.715
8,491.724,1197.747,762.609,676.085,494.473,1152.864,736.029
9,470.372,1229.56,712.41,672.531,492.464,1137.725,756.54
10,174.917,328.427,297.545,310.051,207.438,422.759,288.766
11,146.25,339.829,315.071,226.153,202.884,448.199,337.015
12,134.026,388.713,471.75,240.616,203.339,456.949,266.285
13,120.833,399.71,488.622,221.757,190.152,489.12,275.474
14,143.673,400.553,522.833,220.825,204.696,483.07,269.796
15,164.224,428.939,472.718,247.847,211.616,435.459,271.153
16,163.064,430.092,433.205,304.412,181.58,437.073,291.372
17,133.256,477.102,524.186,318.079,186.384,445.937,283.526
18,126.692,447.857,449.827,351.186,307.107,454.551,246.292
19,130.583,403.007,438.846,360.192,166.116,509.889,275.861
20,137.391,425.983,441.904,370.644,209.518,580.313,271.628
21,141.026,397.539,449.141,455.147,290.304,622.405,329.263
22,143.917,395.188,382.353,445.757,210.473,612.848,335.153
23,175.167,427.16,620.179,498.475,224.554,877.566,434.905
24,195.051,460.645,474.481,554.661,209,719.222,328.197
25,156.865,499.055,416.141,619.554,184.946,827.402,366.993
26,125.763,463.983,370.679,638.356,220.848,624.101,437.927
27,143.34,478.751,314.647,803.712,221.938,611.063,406.547
28,130.109,379.747,374.474,607.757,222.42,569.766,371.234
29,131.538,426.427,327.019,661.599,239.393,565.44,364.051
30,113.679,348.761,322.654,826.966,234.964,541.418,395.752
31,400.019,293.98,354.526,635.429,238.562,580.709,394.35
32,132.218,323.881,302.417,539.898,214.42,600.959,398.577
33,142.942,288.993,274.538,737.051,203.321,696.984,494.438
34,117.526,291.686,257.147,903.475,189.295,940.677,509.912
35,136.321,291.683,251.09,619.407,201.964,837.576,449.255
36,140.237,267.843,277.641,586.768,183.634,874.044,447.978
37,119.346,347.28,355.968,730.328,232.571,600.453,555.299
38,112.583,349.099,337.494,1026.096,174.321,584.934,559.387
39,116.949,393.792,319.75,871.237,263.652,580.513,410.036
40,100.763,514.7,337.84,575.842,280.045,593.88,368.234
