time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7
0,2692.548,2913.513,1884.912,1402.188,1525.969,3081.164,2144.982
1,2639.264,2902.647,1973.964,1389.618,1487.14,3080.053,2220.339
2,2710.471,2864.506,1926.321,1390.502,1512.235,3106.062,2324.027
3,2691.716,2940.923,1858.591,1365.546,1485.993,3135.48,2068.973
4,2738.168,2944.276,1854.73,1436.614,1573.962,3134.853,2224.589
5,2764.663,2923.66,2059.956,1463.546,1559.386,3086.396,2195.188
6,2779.971,2885.494,1922.234,1372.051,1579.334,3112.627,2205.223
7,2762.062,2971.59,1897.847,1401.041,1558.181,3115.653,2101.232
8,2767.822,2956.974,1891.65,1403.956,1527.167,3170.827,2173.277
9,2765.269,2920.692,1827.015,1425.904,1473.454,3167.627,2087.143
10,2681.981,3139.91,1873.073,1344.181,1488.584,3091.44,2110.848
11,2707.303,3527.468,1957.015,1297.509,1394.017,2617.96,1966.661
12,2604.216,3555.019,1910.299,1315.703,1420.676,2877,2010.098
13,2537.341,3389.635,1857.08,1323.085,1415.229,3011.493,2199.938
14,2651.207,3447.545,1859.095,1297.324,1422.526,2947.596,2337.509
15,2599.053,3338.603,1864.832,1311.816,1383.416,2947.2,2233.402
16,2726.389,3249.641,1832.328,1299.181,1367.249,2947.858,2344.607
17,2600.688,3308.91,1829.299,1300.352,1376.184,2977.653,2222.357
18,2531.245,3247.301,1872.328,1300.317,1438.638,2971.96,2277.045
19,2494.192,3288.417,1793.088,1276.608,1479.413,3006.244,2149.054
20,2477.236,3250.821,1878.431,1315.15,1459.246,2998.818,2194.42
21,2482.87,3209.917,1750.292,1337.253,1489.02,2952.062,2274.384
22,2527.971,3127.705,1735.985,1346.877,1439.256,2994.36,2141.179
23,2541.399,3084.705,1750.153,1335.471,1474.758,3096.08,2047.83
24,2537.995,2936.647,1649.628,1356.222,1451.761,3080.16,2111.946
25,2490.538,2909.34,1636.635,1365.85,1428.679,3072.302,1891.946
26,2541.913,2834.577,1726.942,1307.068,1462.191,3169.618,1897.411
27,2534.49,2850.359,1720.832,1332.829,1463.369,3092.396,1884.518
28,2486,2770.154,1791.883,1313.966,1480.703,3065.769,1984.777
29,2554.87,2720.487,1769.672,1115.003,1419.935,3061.667,2033.786
30,2506.543,2583.071,1653.182,1286.457,1446.038,3007.124,2112.768
31,2470.822,2524.853,1618.38,1310.263,1461.512,2933.333,2086.214
32,2378.428,2608.128,1595.241,1308.843,1426.126,2964.538,2007.205
33,2413.514,2546.288,1724.912,1319.788,1412.58,2927.111,1861.696
34,2439.096,2535.147,2123.708,1320.502,1430.392,3012.849,1934.875
35,2360.707,2569.372,2274.781,1312.536,1432.075,2969.289,1841.018
36,2373.654,2706.686,2307.825,1314.84,1456.041,2946.676,1910.509
37,2448.125,2650.679,2270.839,1312.048,1486.949,3065.196,1904.759
38,2346.856,2705.756,2190.92,1273.253,1434.249,2917.431,1983.223
39,2374.822,2804.699,2138.212,1280.799,1494.297,3019.244,1961.625
40,2336.279,2831.5,2184.212,1251.983,1450.747,3133.262,2112.357
