time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22,cell 23,cell 24
0,1033.129,431.695,541.311,477.107,766.723,404.546,512.825,405.639,359.249,274.339,295.147,182.273,266.299,405.729,381.175,939.123,240.149,143.093,392.844,199.237,266.647,190.684,300.46,475.027
40,1024.575,427.881,535.977,489.875,769.416,391.485,514.416,403.139,351.186,286.695,324.209,202.414,260.017,418.525,393.124,932.556,240.163,131.307,351.733,191.064,257.705,188.598,276.131,472.399
80,1004.924,471.04,520.791,456.339,757.635,398.691,533.708,393.49,345.435,287.22,340.791,183.461,280.78,413.164,390.672,914.395,224.221,142.093,411.004,204.378,251.276,162.223,254.672,482.843
120,991.26,473.723,526.107,498.232,754.723,414,527.022,389.005,310.723,281.056,313.243,181.512,285.102,441.35,375.243,928.014,240.791,158.111,389.711,203.615,298.141,194.715,263.526,523.87
160,959.663,457.74,514.062,445.223,762.672,390.887,501.796,389.476,261.09,248.831,299.497,155.719,244.876,416.565,349.701,928.968,229.819,129.333,329.093,171.865,258.045,167.848,247.985,506.096
200,950.904,385.61,457.927,380.991,723.942,342.887,465.642,377.63,214.237,198.384,282.61,130.59,234.328,401.079,348.655,941.605,206.845,116.867,281.28,142.449,233.09,148.688,250.759,500.355
240,907.38,375.599,445.294,295.58,678.328,310.485,406.985,390.832,201.672,161.531,298.282,98.609,199.356,380.102,335.249,928.808,201.49,102.147,260.311,111.429,191.327,124.129,196.628,466.085
280,908.344,344.418,414.78,276.107,655.285,279.309,381.883,366.264,180.136,158.209,305.503,99.25,200.542,366.463,327.48,935.023,200.811,100.333,239.218,115.538,191.59,128.398,197.022,464.802
320,882.393,316.836,377.379,215.643,608.803,280.948,357.905,378.716,202.576,150.48,285.09,110.609,176.531,314.266,318.458,903.639,175.874,94.471,252.733,130.442,199.609,128.723,190.956,451.56
360,887.115,303.701,351.282,238.777,596.562,273.464,352.102,361.534,185.475,154.678,283.955,81.492,187.61,317.22,309.226,915.645,168.991,91.222,216.209,107.487,188.776,117.848,174.584,444.287
400,859.196,306.605,328.706,219.536,565.737,270.32,360.693,347.26,179.452,171.079,313.435,88.609,202.277,307.616,297.362,927.716,195.642,93.298,285.12,108.288,199.603,121.566,203.431,450.133
