time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16
0,340.37,197.393,169.91,198.32,139.036,316.631,67.609,174.529,155.651,111.083,101.323,80.091,129.671,235.824,237.012,182.742
40,327.656,169.83,170.48,217.876,141.978,329.733,67.938,208.982,170.23,143.779,102.416,84.332,128.418,224.594,233.055,184.555
80,328.266,190,157.989,208.724,124.382,315.009,77.012,189.28,151.893,135.126,98.019,97.106,130.408,223.836,223.094,190.195
120,301.513,226.196,140.209,181.72,125.391,320.938,53.598,220.058,179.784,137.99,83.546,64.962,123.899,186.906,228.391,189.406
160,263.547,181.223,135.571,141.916,113.169,304.64,56.418,240.551,174.437,141.553,92.594,52.659,124.326,193.191,262.707,193.117
200,277.269,210.777,126.751,121.369,125.231,297.013,52.176,238.267,175.344,149.325,84.622,59.13,122.37,194.25,248.641,204.707
240,253.232,211.616,117.254,104.213,120.613,283.516,46.902,184.396,178.85,156.955,83.181,55.673,131.487,192.262,272.066,203.035
280,269.123,168.955,140.853,120.147,113.373,279.844,36.711,229.507,180.48,142.114,99.705,77.178,118.294,194.164,245.066,196.488
320,265.393,140.411,138.175,151.196,118.338,283.049,50.098,173.773,165.9,151.819,92.067,68.375,134.554,202.48,256.98,207.105
360,266.848,123.92,129.497,158.698,120.164,281.08,50.254,186.853,171.352,130.713,111.197,101.913,146.842,198.867,241.957,209.543
400,255.278,115.045,125.712,152.493,111.133,269.867,42.387,261.84,161.342,113.271,78.119,85.938,141.886,180.66,245.258,201.547
440,259.728,136.589,133.345,133.556,113.396,282.702,50.289,168.991,152.228,130.064,88.42,71.471,147.383,195.5,234.738,201.102
480,250.628,162.964,140.927,155.96,113.618,268.96,62.039,186.231,168.608,135.342,85.967,59.716,144.104,198.812,228.562,204.785
520,254.269,141.232,132.203,191.604,102.2,286.764,47.77,192.502,171.708,155.639,70.171,59.409,131.908,185.605,215.914,207.262
560,267.493,148.714,137.226,108.707,109.849,263.431,52.297,159.916,162.834,147.606,79.088,109.899,120.421,170.871,212.398,201.477
600,278.519,136.821,135.655,146.209,111.849,280.16,62.828,156.933,158.805,119.297,81.397,102.053,125.649,191.844,212.254,204.289
640,289.238,138.348,138.119,140.56,100.258,287.324,37.707,161.898,158.119,114.796,90.67,73.764,114.196,184.402,220.438,197.746
680,308.842,157.759,150.26,170.778,99.093,273.196,47.223,158.204,168.276,130.653,85.033,72.106,118.921,202.648,223.801,206.113
720,303.759,188.33,146.751,179.142,125.409,283.324,49.496,160.28,155.152,136.515,90.914,79.957,121.478,186.125,230.637,203.82
760,307.149,183.652,163.073,157.889,118.742,297.409,47.168,170.453,164.413,124.425,78.774,78.688,118.114,181.402,221.488,188.082
800,314.476,184.277,142.169,187.84,111.711,284.276,44.867,160.6,149.575,124.544,74.494,75.034,107.487,178.992,211.609,182.492
840,293.258,159.634,147.836,166.56,120.044,263.156,44.496,148.338,151.112,128.437,78.273,76.769,105.585,155.977,210.371,165.449
880,275.55,147.312,136.175,183.8,128.062,248.916,70.41,176.711,166.881,117.537,86.492,69.159,115.658,173.855,222.391,178.246
920,288.375,140.893,152.13,180.778,140.773,212.889,77.613,198.804,157.893,103.591,81.943,60.264,97.804,180.465,216.832,171.945
960,276.301,159.321,158.153,173.991,141.044,224.209,76.746,169.684,151.698,115.91,85.888,68.082,105.329,184.891,213.082,169.273
1000,289.45,151.545,158.503,189.56,109.627,240.902,53.953,159.902,136.031,112.204,78.974,80.952,99.88,198.715,197.422,165.707
1040,280.691,179.527,147.972,209.391,104.836,263.556,46.965,150.316,154.917,78.28,82.14,73.486,113.823,192.508,210.746,177.324
1080,282.427,197.509,149.226,214.209,103.209,285.449,8.121,140.511,139.135,77.822,74.126,88.62,95.193,182.309,208.586,172.398
1120,315.384,171.795,164.181,215.111,104.489,272.884,5.094,122.178,137.717,84.646,88.52,76.856,109.911,179.457,207.223,173.781
1160,296.745,163.429,145.593,250.284,122.396,276.902,5.82,144.293,153.544,103.138,121.912,67.736,109.225,202.898,202.301,167.625
1200,312.544,166.857,149.678,285.827,119.267,271.396,60.801,152.769,172.836,111.252,129.658,78.649,101.275,182.762,194.34,140.75
1240,324.304,175.089,150.034,201.213,109.218,259.129,44.004,232.507,151.698,78.226,95.021,98.755,129.541,183.625,197.957,188.676
1280,326.309,147.688,153.446,213.56,102.276,262.569,48.969,156.249,154.349,75.803,86.33,74.519,105.915,209.43,206.535,184.113
1320,314.269,155.536,159.746,266.453,111.756,273.529,57.297,153.996,159.667,77.435,83.411,103.183,112.456,199.93,206.066,173.688
1360,304.178,150.5,160.379,209.053,119.116,279.933,47.812,145.631,147.081,64.494,118.565,77.096,112.554,196.055,210.961,163.555
1400,313.312,160.223,158.158,227.751,117.644,250.778,49.52,157.613,146.297,80.501,93.352,92.226,127.392,199.473,222.836,188.152
1440,320.057,178.098,141.503,236.24,100.156,251.991,55.168,149.218,139.603,68.582,81.563,68.548,125.446,188.352,205.332,168.48
1480,319.229,157.464,159.836,240.284,98.782,232.556,50.965,168.147,150.893,69.701,109.444,81.721,115.06,218.574,211.812,175.25
1520,315.84,180.768,150.667,240.742,100.2,276.329,47.125,153.467,160.926,68.61,83.736,81.524,103.19,179.004,192.105,175.273
1560,317.029,157.036,166.192,222.013,86.276,272.413,36.262,154.573,149.423,79.546,101.979,78.803,117.358,176.922,189.312,177.68
1600,294.966,167.732,143.791,231.418,103.058,302.498,41.109,129.6,132.005,60.981,86.843,67.139,103.146,181.355,192.008,167.629
1640,294.842,166.321,158.266,243.062,112.733,271.773,43.281,162.542,136.48,70.09,128.556,72.029,102.791,188.828,190.227,173.621
1680,305.069,182.991,153.028,235.778,112.773,292.902,44.695,140.04,144.61,80.713,89.791,65.553,122.538,200.645,207.555,186.48
1720,316.35,179.509,152.576,283.409,120.782,291.209,45.094,148.036,153.781,64.083,99.817,72.99,100.88,217.988,188.141,200.062
1760,306.871,173.116,160.672,248.631,112.431,324.756,60.16,160.333,140.432,71.01,106.765,65.986,90.674,193.793,201.43,184.148
1800,310.014,183.375,162.023,258.351,104.84,302.204,43.062,156.973,150.157,65.724,105.793,67.476,102.193,212.82,201.84,193.914
1840,306.848,165.643,160.802,258.569,99.609,309.978,46.859,157.8,155.09,98.074,132.309,54.183,106.07,204.055,191.492,193.047
1880,309.628,190.054,192.023,233.782,93.538,276.6,49.449,160.222,150.494,64.349,121.278,67.423,102.449,199.559,201.312,173.785
1920,308.272,170.982,171.876,226.067,103.409,270.716,48.973,191.307,137.872,83.553,102.622,87.216,96.171,194.504,196.586,170.125
1960,319.352,172.25,203.316,239.156,99.489,292.476,46.586,163.253,160.848,78.525,90.145,70.312,91.848,212.953,194.023,175.863
2000,293.278,177.17,189.407,266.956,97.716,286.969,50.172,168.658,152.515,77.81,93.663,68.942,122.978,204.906,194.719,195.262
