time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10
0,1304.606,377.65,358.989,1087.804,811.281,624.962,1620.643,1644.873,1732.545,1494.682
40,1547.323,334.396,366.73,1029.867,807.865,594.253,1627.136,1545.596,1681.574,1440.656
80,1520.906,364.963,383.048,1119.142,845,606.772,1612.94,1538.826,1665.866,1417.76
120,1395.377,322.398,343.391,1050.751,778.341,532.117,1539.348,1461.692,1583.016,1412.405
160,1381.82,285.374,322.269,1062.764,661.954,487.756,1451.853,1481.449,1408.04,1383.937
200,1205.841,273.137,303.146,1004.609,598.276,423.924,1355.5,1407.143,1396.757,1417.623
240,1201.747,258.872,300.478,1235.6,522.587,381.82,1268.355,1399.208,1346.081,1401.187
280,1206.567,280.315,282.065,1124.871,505.894,429,1245.839,1375.388,1300.813,1387.162
320,1133.36,229.865,270.956,1021.742,509.913,400.358,1226.69,1401.038,1301.013,1398.248
360,1198.948,219.817,277.044,1086.324,550.689,385.161,1240.299,1373.449,1259.318,1381.545
400,1074.958,242.796,297.467,933.102,608.081,401.864,1195.801,1348.542,1247.178,1399.913
440,1097.441,226.804,271.039,920.436,605.97,372.598,1222.775,1317.592,1266.625,1371.812
480,937.369,234.085,248.92,999.516,583.183,363.278,1181.511,1268.725,1239.948,1396.75
520,990.831,238.83,271.041,928.396,607.141,356.285,1221.455,1237.116,1222.065,1385.121
560,1084.376,242.944,279.194,1353.876,613.809,378.136,1188.493,1220.141,1254.734,1382.164
600,926.968,242.791,259.535,1084.938,602.402,389.826,1215.145,1216.009,1230.77,1346.892
640,929.455,247.976,289.524,1709.96,636.769,373.196,1248.027,1241.531,1197.664,1374.02
680,979.651,224.654,317.452,1307.009,622.13,379.899,1269.549,1246.975,1185.276,1400.268
720,978.584,224.624,288.294,1173.947,616.667,367.924,1281.676,1213.636,1181.035,1395.227
760,939.866,232.656,262.391,875.12,622.835,372.848,1239.067,1190.214,1183.972,1375.892
800,1015.642,229.524,271.907,794.427,596.15,373.677,1243.02,1203.556,1218.936,1406.762
840,1097.602,228.039,271.498,774.204,654.604,360.313,1282.763,1223.223,1174.13,1367.905
880,1005.506,211.465,221.037,923.471,616.891,357.68,1221.712,1201.33,1190.053,1379.371
920,958.38,217.793,241.124,965.4,634.774,365.253,1182.864,1177.904,1149.547,1371.756
960,1016.348,222.498,265.556,971.88,645.076,369.997,1211.388,1197.935,1172.474,1374.146
1000,1024.433,236.35,250.374,906.2,639.393,414.263,1232.6,1237.614,1172.59,1369.797
1040,1043.102,243.437,260.115,781.098,637.183,408.911,1234.507,1217.192,1186.138,1376.644
1080,1045.573,219.665,275.18,914.933,604.25,363.823,1242.661,1199.147,1238.461,1373.382
1120,1062.458,224.957,234.552,887.578,611.056,364.18,1247.395,1204.712,1280.893,1383.007
1160,1193.388,229.776,240.435,889.351,623.141,422.18,1281.478,1165.056,1141.069,1381.688
1200,1138.878,229.198,264.015,837.018,647.515,439.829,1250.754,1189.846,1142.138,1372.591
1240,1186.774,230.233,265.244,1003.213,662.009,414.342,1261.875,1187.634,1156.019,1358.465
1280,1062.388,257.48,261.578,759.876,676.68,450.734,1225.25,1204.366,1188.358,1338.981
1320,1032.166,226.444,267.569,823.889,684.448,475.206,1265.333,1220.585,1152.518,1379.573
1360,1209.296,254.035,269.92,778.836,679.483,421.576,1273.33,1239.842,1114.931,1364.069
1400,1051.947,276.631,268.194,765.542,653.826,445.611,1268.806,1201.609,1246.083,1409.605
1440,1130.746,259.148,267.794,794.613,670.296,491.215,1273.366,1242.797,1212.426,1425.276
1480,1146.648,294.741,286.65,787.511,687.231,467.766,1248.933,1231.344,1269.547,1398.473
1520,1325.747,249.987,261.45,935.964,687.657,424.604,1267.853,1207.525,1223.684,1333.382
1560,1168.346,245.406,273.219,885.293,710.328,458.446,1235.397,1197.252,1188.758,1313.154
1600,1273.218,257.174,262.685,834.333,687.398,417.383,1269.879,1231.27,1303.044,1337.583
1640,1281.216,263.354,247.974,1030.564,690.341,470.032,1234.915,1271.616,1275.877,1334.242
1680,1315.781,263.731,275.259,845.76,707.435,409.434,1256.471,1203.045,1304.764,1406.92
1720,1308.642,280.6,281.389,770.404,709,484.614,1235.846,1218.551,1271.112,1314.658
1760,1139.404,298.817,259.026,781.44,690.498,409.234,1233.603,1203.944,1292.442,1340.088
1800,1084.606,270.922,253.093,795.32,722.502,430.69,1252.554,1227.154,1267.893,1334.678
1840,1158.254,256.896,250.491,785.791,723.889,455.532,1224.578,1240.897,1233.386,1314.979
1880,1180.385,248.372,248.054,941.489,693.509,422.472,1232.862,1163.199,1333.156,1283.523
1920,1248.668,250.119,245.22,868.08,776.452,424.737,1210.346,1218.397,1245.244,1272.156
1960,1225.673,266.644,269.015,772.12,720.639,382.5,1213.132,1212.65,1268.891,1286.04
2000,1256.115,270.735,280.959,861.831,692.157,413.943,1166.65,1225.989,1257.917,1328.729
2040,1211.388,259.374,269.45,1183.729,713.296,431.902,1180.089,1242.679,1245.559,1319.374
2080,1126.024,257.176,235.343,926.249,724.578,410.494,1197.944,1174.935,1316.98,1281.9
2120,1153.176,269.691,289.285,837.6,747.856,421.301,1199.951,1213.239,1265.061,1325.773
2160,1068.517,249.53,280.743,1287.729,696.341,438.684,1209.583,1247.221,1246.706,1289.303
2200,1120.042,258.506,264.33,1065.996,709.296,381.234,1207.254,1164.339,1269.834,1260.582
2240,1139.468,271.576,307.659,806.933,711.804,401.873,1212.679,1164.368,1324.565,1265.916
2280,1160.992,265.194,292.846,841.338,669.12,402.766,1216.656,1201.73,1312.445,1280.541
2320,1241.042,265.104,275.685,730.956,739.952,415.956,1184.359,1191.196,1342.143,1304.728
2360,1236.652,254.863,270.293,937.564,716.276,416.658,1200.484,1265.371,1311.438,1318.36
2400,1260.405,272.194,281.57,756.6,727.291,429.234,1231.594,1287.989,1302.435,1259.745
