time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13
0,1071.606,654.989,539.589,509.183,672.165,365.529,658.352,527.034,425.377,482.355,591.519,795.541,534.243
40,1077.391,664.741,528.141,506.783,664.9,370.918,628.744,512.99,411.587,505.915,614.202,790.9,513.867
80,1086.089,641.406,525.061,511.809,672.267,367.904,625.754,503.085,427.531,504.724,604.883,796.119,510.998
120,1108.859,673.361,551.78,524.578,676.607,351.157,616.556,521.539,460.801,502.635,587.007,799.215,499.707
160,1120.085,660.237,564.009,518.657,696.385,362.365,655.201,551.089,462.614,525.485,595.511,830.983,516.03
200,1121.078,675.522,576.226,540.87,738.935,358.44,668.365,558.348,445.116,520.918,603.765,796.335,509.476
240,1122.056,689.674,583.874,532.148,751.544,363.017,675.611,551.218,465.821,534.72,588.389,792.68,533.115
280,1164.861,697.815,589.52,539.107,769.304,367.287,694.28,556.717,458.228,533.317,597.509,812.22,538.326
320,1180.496,716.159,582.813,537.828,779.994,382.157,696.024,556.621,470.665,542.696,604.43,814.933,532.691
360,1190.319,724.039,591.578,538.883,797.094,396.096,711.58,559.068,475.562,536.406,601.919,820.707,527.948
400,1181.3,712.778,578.767,550.993,800.046,383.031,704.601,579.205,479.333,524.365,608.811,816.717,541.763
440,1194.18,710.969,568.733,546.739,793.759,385.003,721.29,565.659,480.739,528.901,599.296,800.456,542.089
480,1179.757,713.213,573.03,524.843,776.933,375.348,729.515,570.375,472.987,531.536,594.513,811.994,549.891
520,1186.122,710.344,581.907,518.348,792.202,362.188,710.696,543.451,473.607,520.846,593.659,795.211,550.507
560,1153.859,747.822,574.244,542.348,759.422,399.7,725.908,540.819,463.105,484.123,612.078,844.359,557.535
600,1140.663,732,560.526,535.339,735.563,386.706,725.488,544.471,454.44,495.604,620.648,844.472,567.08
640,1156.478,716.813,575.494,523.233,718.57,383.007,702.567,538.195,452.913,511.119,625.03,861.035,550.065
680,1147.124,711.719,569.806,536.504,731.813,372.362,712.509,546.771,437.442,536.788,635.011,860.62,555.041
720,1161.044,726.304,565.161,528.648,747.074,380.427,707.3,526.457,439.884,534.594,631.843,881.052,555.757
760,1145.2,720.435,560.889,514.869,737.494,372.594,706.024,516.703,430.286,494.737,608.469,855.206,529.196
800,1144.815,702.778,548.537,520.957,716.119,385.027,709.478,502.232,452.092,545.519,619.478,858.487,515.759
840,1155.878,692.735,531.887,513.717,717.102,376.454,694.348,493.785,432.783,510.549,612.659,835.296,524.441
880,1124.889,694.567,550.941,528.374,718.02,378.495,697.604,492.314,444.06,553.727,595.335,816.811,523.002
920,1135.935,696.509,550.656,538.033,705.394,385.048,684.761,513.771,443.712,541.843,603.052,824.637,522.667
960,1144.778,699.063,535.787,504.431,700.083,359.396,700.724,503.549,446.188,546.962,601.739,817.798,509.569
1000,1137.85,671.794,539.215,496.569,693.572,367.082,680.672,478.771,449.118,548.573,613.517,858.126,504.231
1040,1143.678,693.935,533.63,487.037,695.241,361.659,676.734,480.778,421.359,538.181,613.776,838.07,512.252
1080,1136.022,679.035,541.461,484.52,677.952,357.966,678.901,487.686,424.194,542.846,615.117,809.665,506.074
1120,1138.419,683.772,550.17,497.85,686.748,363.01,667.604,462.065,419.618,565.587,592.107,824.974,491.826
1160,1125.424,677.948,550.187,483.617,696.92,366.788,688.71,466.031,448.792,571.423,598.144,832.267,527.985
1200,1134.302,677.131,533.065,491.859,690.433,363.266,661.901,457.085,436.806,561.956,590.328,829.104,501.757
1240,1107.785,668.939,539.691,520.676,674.546,355.491,640.983,468.532,423.67,577.198,595.006,813.965,503.296
1280,1144.3,683.998,520.231,515.53,667.991,366.43,670.58,478.433,420.804,570.997,595.326,814.306,502.92
1320,1108.139,686.341,536.156,511.939,685.002,347.751,654.403,466.239,421.458,558.355,597.917,806.974,494.044
1360,1108.522,667.576,530.169,510.28,682.165,367.99,636.007,463.007,404.864,553.58,606.998,810.387,502.081
1400,1118.106,673.706,532.398,520.439,701.1,365.966,634.761,461.631,407.335,567.167,591.348,787.493,501.924
1440,1118.519,700.783,525.609,530.128,688.496,340.253,628.065,484.577,406.967,574.14,594.781,804.369,495.857
1480,1161.18,677.244,532.081,547.33,718.006,341.567,640.307,473.085,418.589,587.809,587.287,793.819,521.413
1520,1122.352,664.222,527.55,523.343,700.663,346.857,611.594,486.72,429.748,585.007,577.593,768.765,500.367
1560,1160.631,688.844,529.372,532.976,709.076,351.116,636.348,482.137,449.029,576.532,604.393,784.239,501.865
1600,1158.596,683.578,524.896,498.976,721.524,336.461,607.727,469.085,427.777,551.908,574.491,768.504,486.113
1640,1152.883,688.072,519.085,504.661,746.263,355.652,631.15,484.956,413.145,568.611,589.439,783.569,513.628
1680,1187.05,682.111,513.757,521.494,744.631,365.345,639.099,473.686,417.013,551.157,598.25,761.669,514.822
1720,1161.913,681.93,532.072,525.185,746.88,364.137,625.805,477.02,410.998,556.065,593.531,797.206,519.598
1760,1154.52,684.578,504.354,521.563,733.044,353.304,605.857,458.437,418.868,574.126,602.47,781.376,514.32
1800,1152.609,673.65,508.757,517.411,733.126,343.051,604.461,452.143,418.717,575.038,604.931,778.259,485.417
1840,1158.933,663.276,510.037,501.537,720.244,338.113,611.563,458.546,397.261,567.676,598.97,748.031,470.091
1880,1174.18,665.163,497.717,480.122,723.656,340.611,621.167,454.809,409.134,549.741,598.78,756.828,486.578
1920,1156.126,662.876,514.05,472.144,730.652,330.857,602.642,462.973,417.634,550.283,588.298,749.413,498.578
1960,1128.869,663.348,512.694,494.2,744.802,344.481,601.42,453.792,400.603,542.604,597.157,759.57,500.783
2000,1159.543,672.793,529.106,502.091,756.98,345.703,602.645,451.635,409.893,567.208,594.148,799.646,503.911
2040,1174.148,668.763,511.259,505.709,755.302,356.846,592.597,442.447,399.049,557.949,582.822,798,504.7
2080,1188.269,669.544,510.774,504.093,740.639,360.191,581.915,447.225,410.246,536.27,585.869,824.372,499.243
2120,1189.452,661.55,505.648,517.787,756.681,354.809,618.416,453.058,434.855,556.99,579.961,810.135,470.619
2160,1141.313,658.169,494.624,521.141,741.589,348.334,605.754,439.372,430.891,556.232,565.843,828.906,477.331
2200,1152.393,657.141,492.454,512.756,740.891,355.027,596.863,440.614,430.754,550.024,577.42,820.681,485.637
2240,1137.028,652.43,497.824,502.659,745.552,332.669,582.72,447.887,426.766,538.014,573.359,805.639,498.82
2280,1143.019,653.928,502.998,519.948,755.87,343.638,587.792,454.761,425.471,523.741,578.248,825.95,481.496
2320,1142.793,644.37,487.239,528.454,732.046,346.659,595.887,451.836,414.694,554.427,591.698,809.194,488.746
2360,1152.091,662.935,511.346,533.161,750.807,343.324,590.399,436.788,413.444,556.7,577.813,804.226,482.648
2400,1170.213,658.307,511.331,536.322,758.422,348.212,606.355,469.085,425.56,580.048,570.513,805.424,503.943
2440,1161.611,640.407,489.889,534.83,757.796,353.686,595.993,446.113,422.815,569.205,589.743,803.874,491.931
2480,1151.565,647.146,490.267,527.369,757.959,350.608,608.509,443.925,415.634,571.242,588.404,813.413,520.37
2520,1140.996,665.356,492.994,540.641,761.889,351.16,596.461,445.048,403.98,553.939,567.989,800.217,500.961
2560,1176.133,665.728,497.617,517.065,754.585,344.488,569.529,446.659,421.594,564.536,566.552,816.672,504.32
2600,1183.474,665.198,505.454,535.511,762.117,338.072,587.413,449.604,395.52,572.625,563.4,822.702,518.728
2640,1182.635,660.548,495.17,542.657,759.094,343.857,591.177,443.792,392.406,582.177,570.309,809.117,515.689
2680,1159.022,654.602,486.65,534.706,755.278,333.597,582.232,450.263,392.455,564.082,572.237,836.089,519.991
2720,1192.469,665.839,494.094,535.737,780.744,345.485,592.338,445.515,399.232,579.601,565.198,820.276,525.502
2760,1194.591,648.043,505.202,531.259,762.533,352.843,602.355,452.604,413.915,592.785,565.943,839.987,526.026
2800,1213.487,647.989,511.813,538.976,773.069,360.645,578.382,441.362,400.692,573.809,558.67,820.43,513.306
2840,1219.776,649.772,501.681,532.83,759.278,345.225,573.464,447.526,409.051,582.15,565.93,820.083,508.68
2880,1174.498,668.585,494.817,526.185,753.92,351.536,561.399,445.024,400.031,588.331,550.959,814.57,507.181
