time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8
-60,1514.796,1662.893,1646.893,1935.353,2080.948,1780.649,2279.015,1551.845
-50,1577.832,1607.604,1652.458,1938.256,1895,1701.68,2253.54,1483.196
-40,1553.518,1670.153,1654.859,1847.109,1946.639,1663.418,2196.19,1445.217
-30,1477.745,1642.22,1569.497,1899.59,1934.175,1713.155,2202.577,1522.206
-20,1479.328,1584.045,1625.107,1948.622,1929.65,1762.737,2140.219,1572.258
-10,1467.109,1669.814,1592.785,1870.551,1946.155,1697.472,2230.409,1524.021
0,1256.584,1498.164,1508.695,1854.564,1767.217,1645.146,2106.686,1477.443
10,1134.701,1478.768,1497.508,1658.571,1784.423,1614.047,2039.036,1459.423
20,1117.825,1501.955,1493.305,1688.032,1692.907,1465.877,1883.533,1324.144
30,1074.248,1424.396,1471.407,1658.179,1778.186,1522.87,1985.277,1254.814
40,1059.635,1547.859,1479.48,1600.91,1756.474,1451.573,1884.423,1256.969
50,1099.321,1556.26,1409.684,1596.814,1676.907,1489.057,1944.504,1244.227
60,1079.029,1516.345,1522.463,1662.282,1876.186,1455.19,1977.664,1159.794
70,1049.073,1563.367,1424.514,1655.321,1821.598,1458.81,1836.08,1234.083
80,1065.431,1545.068,1522.458,1636.429,1798.691,1448.234,1945.723,1149.99
90,1078.584,1571.955,1518.627,1669.147,1713.412,1516.206,1845.584,1201.01
100,1044.766,1492.356,1526.486,1710.34,1771.588,1425.187,1869.781,1139.887
110,1132.35,1595.52,1544.175,1680.917,1868.577,1525.054,1899.022,1188.35
120,1048.212,1643.943,1467.74,1692.814,1734.412,1499.873,1891.409,1202.742
130,1021.292,1544.508,1499.554,1742.321,1704.979,1514.728,1869.095,1117.237
140,1056.336,1528.492,1539.237,1641.25,1788.897,1462,1933.912,1264.021
150,1084.219,1547.011,1563.198,1610.404,1777.237,1483.209,1882.299,1210.845
160,1007.46,1625.028,1619.508,1679.506,1707.495,1506.984,1893.891,1183.474
170,1082.489,1633.232,1451.435,1573.179,1743.742,1520.772,1899.212,1255.804
180,1025.088,1592.051,1531.808,1710.314,1746.103,1482.5,1835.073,1279.217
190,973.547,1591.859,1530.542,1679.205,1779.175,1518.74,1931.781,1219.495
200,1058.752,1546.475,1536.949,1589,1784.65,1526.649,1895.27,1141.103
210,1021.737,1573.045,1467.305,1643.929,1673.062,1439.927,1979.818,1246.155
220,990.964,1565.706,1459.712,1634.385,1729.268,1442.902,1949.781,1224.948
230,1003.533,1564.384,1496.113,1615.077,1698.103,1439.165,1961.518,1196.701
240,963.708,1508.102,1389.599,1602.282,1752.814,1400.756,1894.336,1187.402
250,937.328,1436.282,1434.927,1627.859,1814.753,1444.655,1885.796,1165.083
260,972.423,1511.672,1501.701,1655.455,1663.804,1439.693,1862.08,1218.876
270,935.854,1524.887,1358.989,1645.571,1725.567,1347.133,1934.657,1147.34
280,938.803,1510.808,1441.373,1584.942,1725.031,1396.946,1912.496,1154.031
290,902.073,1425.316,1441.017,1540.269,1723.381,1378.332,1932.416,1139.01
300,847.526,1391.282,1403.638,1608.494,1654.381,1314.035,1916.956,1131.206
310,886.036,1405.017,1370.102,1578.917,1649.144,1347.177,1951.715,1134.588
320,892.81,1407.808,1351.396,1529.91,1699.835,1354.18,1907.942,1136.794
330,793.978,1374.266,1348.932,1619.173,1705.083,1360.68,1872.985,1138.99
340,833.912,1418.469,1249.836,1529.949,1716.124,1303.31,1913.752,1197.175
350,819.168,1409.977,1382.78,1473.154,1658.804,1288.797,1867.934,1170.021
360,849.788,1370.983,1403.26,1521.083,1716.186,1364.437,1911.832,1118.876
370,844.679,1385.198,1332.209,1477.481,1617.381,1294.288,2020.547,1173.34
380,841.482,1314,1280.011,1495.596,1686.247,1284.528,2005.387,1196.856
390,873.876,1334.565,1286.384,1497.545,1682.577,1270.013,1889.314,1106.464
400,825.672,1364.418,1292.164,1420.314,1626.948,1223.152,1835.92,1150.99
410,852.577,1364.943,1307.469,1451.487,1630.567,1262.335,1957.847,1103.35
420,893.285,1327.051,1314.458,1418.577,1660.619,1234.972,1863.285,1088.423
430,735.964,1315.209,1276.554,1393.263,1732.484,1228.49,1897.978,1146.412
440,839.715,1319.384,1252.96,1365.167,1743.856,1206.709,1969.526,1114.402
450,870.861,1322.672,1223.209,1374.372,1638.814,1222.177,1942.818,1136.34
460,789.146,1320.141,1283.299,1314.872,1681.381,1225.016,1847.328,1112.505
470,820.861,1335.028,1281.299,1279.769,1674.629,1192.728,1866.555,1185.34
480,799.022,1302.282,1260.565,1276.853,1629.083,1219.57,1838.613,1173.928
490,821.117,1322.294,1271.904,1333.872,1724.753,1214,1954.861,1114.186
500,961.022,1315.785,1283.209,1360.981,1673.258,1190.687,2008.38,1202.031
510,833.723,1333.147,1293.864,1272.372,1609.165,1170.57,1900.869,1106.227
520,831.321,1323.299,1274.13,1324.859,1614.278,1227.022,1853.606,1176.33
530,873.62,1299.028,1239.124,1294.282,1579.227,1228.728,1882.584,1178.794
540,841.693,1319.932,1265.35,1269.519,1611.783,1245.532,1901.007,1133.206
550,844.212,1335.842,1228.559,1189.763,1553.052,1202.196,1901.869,1204.433
560,831.38,1318.65,1200.237,1282.301,1565.423,1287.56,1882.672,1244.217
570,921.759,1299.853,1188.847,1202.872,1572.938,1221.908,1799.124,1130.783
580,810.088,1282.147,1227.542,1208.115,1421.516,1289.839,1883.292,1130.124
590,833.847,1314,1292.565,1218.987,1544.052,1183.551,1806.139,1104.608
600,878.657,1262.503,1270.808,1135.84,1587.557,1221.494,1845.343,1159.052
610,888.073,1328.599,1174.113,1235.288,1534.392,1184.361,1899.445,1090.763
620,830.65,1355.661,1126.74,1268.064,1481.835,1231.421,1874.985,1138.938
630,834.854,1280.893,1196.169,1247.782,1520.124,1239.706,1817.431,1141.588
640,879.745,1394.785,1204.396,1093.192,1425.01,1218.057,1837.482,1187.402
650,822.182,1266.226,1234.842,1197.968,1509.031,1184.301,1860.336,1120.691
660,843.299,1274.153,1232.983,1168.019,1402.392,1165.278,1839.708,1075.402
670,808.81,1277.463,1267.407,1097.692,1512.701,1174.655,1847.058,1126.588
680,800.248,1347.972,1262.65,1237.776,1454.598,1218.101,1787.358,1102.969
690,846.474,1325.034,1241.932,1171.179,1530.691,1207.225,1814.212,1200.753
700,849.599,1320.492,1301.599,1139.397,1426.856,1201.082,1821.672,1122.928
710,783.46,1295.006,1295.627,1119.878,1422.505,1205.323,1795.599,1159.083
720,771.985,1322.232,1277.062,1129.064,1467.433,1135.839,1832.431,1106.093
730,891.883,1257.243,1308.232,1116.122,1464.917,1166.633,1754.73,1108.309
740,798.54,1376.718,1325.65,1075.795,1407.165,1144.396,1788.46,1055.247
750,807.912,1358.898,1259.847,1116.577,1452.629,1151.12,1871.146,1090.021
760,812.679,1302.898,1297.65,1128.769,1364.289,1137.076,1874.423,1183.66
770,772.445,1306.107,1350.412,1114.481,1413.268,1207.155,1830.825,1070.371
780,820.591,1321.729,1358.079,1041.231,1429.897,1179.161,1770.891,1110.093
790,787.745,1400.893,1366.35,1127.077,1424.062,1137.728,1845.431,1116.536
800,785.321,1357.277,1337.972,1033.327,1392.433,1191.117,1848.993,1135.34
810,829.102,1277.215,1438.232,1061.526,1315.268,1160.627,1886.277,1170.124
820,800.766,1301.429,1330.175,1020.43,1430.753,1199.222,1845.197,1254.804
830,779.182,1339.085,1377.141,1047.5,1490.392,1163.478,1920.117,1155.99
840,788.956,1281.718,1292.153,1010.84,1487.34,1194.49,1819.124,1188.711
850,820.036,1318.701,1321.294,1021.372,1436.031,1229.171,1895.934,1124.835
860,817.693,1341.13,1286.706,1079.006,1433.938,1196.377,1848.912,1187.67
870,764.737,1309.802,1368.932,988.019,1395.917,1120.5,1840.445,1145.083
880,843.409,1255.345,1377.87,975.256,1479.753,1152.256,1828.81,1242.629
890,741.431,1348.898,1352.475,1011.09,1444.083,1180.63,1778.124,1220.041
900,782.569,1227.729,1317.503,994.513,1390.526,1181.484,1834.606,1180.196
