time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8
-50,7808.75,10765.522,5871.865,10940.038,10330.259,3771.675,4042.243,4456.942
-40,7737.438,10752.623,5681.154,10843.635,9780.5,3720.925,4084.378,4476.652
-30,7675.125,11231.029,5923.25,10753.288,9593.036,3667.238,4006.892,4338.594
-20,7604.6,11310.275,5783.192,10978.077,9208.705,3736.625,3954.514,4435.391
-10,7569.312,11332.043,5552.519,10728.769,9029.562,3866.213,3939.649,4291.014
0,7334.95,11235.986,5730.827,10716.385,9315.036,3900.25,3833.054,4518.884
10,4988.863,8926.014,4210.846,7619.788,8824.491,2661.025,2935.946,3273.783
20,4948.7,9386.725,4781.923,8208.769,8975.982,2794.662,3119.189,3469.232
30,5034.425,9777.768,4729.077,8000.673,8927,2831.963,3103.189,3498.812
40,5176.363,9648.232,4761.115,7973.962,9370.839,2827.213,3177.811,3569.333
50,5286.438,9620.667,4801.692,7873.212,9513.455,2830.425,3292.054,3428.014
60,5120.6,9294.13,4666.423,8094.481,9346.089,2814.6,3364.351,3462.551
70,5219.45,9106.971,4489.731,7874.654,9605.688,2826.137,3409.865,3579.29
80,5078.163,9069.913,4633.923,7947.077,9618.045,2798.425,3361.27,3520
90,5155.137,8958.348,4726.615,7858.231,9869.839,2715.213,3307.757,3508.203
100,4962.538,8868.841,4798.385,7744.25,9799.312,2717.588,3248.027,3510.652
110,4907.863,9094.826,4577.731,7674.038,9892.866,2779.812,3288.243,3427.507
120,5077.337,9187.754,4767.596,7603.904,9757.848,2738.3,3326.703,3385.101
130,5019.15,9421.913,4677.827,7639.173,9645.679,2802.588,3214.162,3280.725
140,4991.75,9280.246,4724.596,7466.115,9537.902,2781.213,3231.486,3203.536
150,4994.775,9306.159,4861.019,7639.596,9266.795,2847.312,3203.432,2904.029
160,5021.337,9329.87,4835.096,7436.404,9242.366,2849.25,3158.162,2879.667
170,4794.837,9399.826,4555.25,7330.673,9138.509,2857.525,3090.514,2922.696
180,4822.575,9370.754,4515.712,7299.346,9046.304,2834.963,3054.324,2890.957
190,4896.425,9494.406,4334.308,7329.231,9103.312,2767.238,3264.459,2893.232
200,4877.75,9447.797,4543.365,7330.692,9264.911,2777.25,3010.081,2900.275
210,4855.1,9317.275,4715.865,7193.058,9574.625,2734.613,3082.541,2897.623
220,4911.2,9178.841,4578.885,7116.096,9564.955,2827.088,2944.486,3031
230,4796.012,9530.493,4255.769,7037.75,9269.571,2712.688,2997.595,3036.014
240,4817.675,9474.232,4197.288,6987.769,9455.946,2744.875,2903.459,3108.333
250,4718.05,9325.072,4278.115,6879.538,9349.946,2750.15,2927.865,3123.899
260,4725.4,9131.072,4148.135,6773.385,9175.089,2772.1,2790.324,3119
270,4835.238,9189.986,3873.25,6693.981,9019.536,2846.162,2721.514,3083.377
280,4850.075,8799.855,4150.192,6568.885,8898.339,2890.75,2707.486,3082.609
290,4888.837,8830.014,4671.981,6825.308,8827.679,2916.2,2596.162,3150.029
300,4793.062,8899.406,5025.558,6800.135,8956.893,2924.438,2664.243,3128.841
310,4956.538,9111.435,4712.923,6884.635,8603.616,2882.5,2727.73,3031.232
320,4812.038,8951.899,4758.808,6647.269,8469.696,2912.3,2736.324,3113.261
330,4772.188,9040.145,4643.577,6733.538,8018.116,2824.438,2862.784,3119.594
340,4787.587,8897.029,4874.365,6921.231,8372.571,2770.637,2776.297,3097.217
350,4858.075,9172.87,4858.077,6762.75,8301.384,2829.225,2917.324,3140.188
360,4875.238,9361.319,4915.635,6588.269,7848.536,2932.825,2950.243,3127.203
370,4933.688,9447.87,4814.923,6608.5,8068.411,2822.188,2853.243,3254.029
380,4913.525,9335.957,4897.962,6761.538,8583.071,2874.387,2950.297,3218.406
390,5006.975,9365.739,4872.962,6605.192,8663.527,2899.762,2954.946,3089.174
400,5045.262,9176.493,4732.077,6751.154,9046.143,2937.662,2767.108,3163.71
410,5049.113,9102.942,4934.192,6806.192,8802.946,2947.562,2898.297,3209.058
420,4996.975,8732.681,4925.058,6748.962,8458.375,3018.95,2973.811,3224.478
430,5069.35,8705.797,5036.115,6562.654,8543.259,3006.463,2791.351,3174.377
440,5113.05,8668.246,4864.365,6629.981,8493.25,3057.225,2764.541,3287.826
450,4993.413,8778.348,4886.962,6829.654,8188.366,3059.662,2836.919,3179.478
460,5072.462,8616.275,4967.712,6629.5,8447.884,3041.912,2823.703,3181.681
470,5015.438,8561.58,4953.404,7351.635,8522.277,3030.125,2984.838,3208.87
480,4955.038,8634.899,4876.692,7744.615,8618.518,3057.475,2963.595,3197.739
490,4872.738,8758.116,4770.885,6926.942,8603.205,2952.062,2957.027,3163.609
500,4982.95,8586.971,4852.865,6595.692,8959.643,2968.287,2932.378,3133.71
510,4914,8767.348,4866.673,6780.058,8671.509,2996.963,2825.027,3202.826
520,4917.9,8857.478,4992.885,6822.038,8798.911,3091.25,2687.865,3073.696
530,4921.863,8893.507,4950.442,6709.654,9065.143,2949.213,2722.297,3193.855
540,4941.863,8703.507,4901.365,6962.058,9041.795,2984.213,2650,3236.971
550,4852.95,8767.043,4849.519,6708.692,8993.839,2970.275,2561.703,3029.435
560,4792.075,8835.522,4931.212,6652.923,8824.455,2980.4,2847.216,3174.217
570,4775.25,8893.58,4997.115,6862.038,8987.634,3006.637,2767.865,3253.464
580,4709.8,9102.71,5004.192,6973,9493.973,2975.95,2685.027,3269.42
590,4725.075,8928.739,4800.423,7014.058,9478.071,2972.412,2761.649,3240.522
600,4748.15,9021.072,4908.25,7177.538,9201.732,3012.838,2630.541,3163.507
