time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14
-50,1799.773,2535.481,2730.757,4350.619,3609.007,2910.897,6805.514,3877.676,6311.087,3897.723,8204.455,3672.857,2255.188,2910.299
-40,1833.856,2465.096,2728.108,4589.804,3779.139,3093.66,7487.432,4470.919,6955.797,4292.259,9228.107,4163.179,2568.262,3198.567
-30,1884.289,2507.558,2783.27,4668.474,3749.051,3079.773,7263.351,4409.865,6911.058,4362.188,9318.482,4090.071,2558.938,3211.052
-20,1819.732,2490.462,2720.054,4566.062,3873.124,2996.546,7276.595,4578.351,7036.565,4260.179,9167.134,4067.589,2683.75,3194.381
-10,1821.062,2484.212,2817.946,4726.052,3805.161,3136.567,7486.081,4416.919,6909.159,4326.955,9268.902,4165.375,2636.775,3377.237
0,1820.402,2397.019,2659.973,4611.918,3781.825,3030.103,7336.162,4355.108,6982.87,4271.902,9294.143,4127.411,2780.312,3335.866
10,1218.814,1716.135,2259.351,3295.165,2463,2205.485,7476.892,3982.946,5466.928,3581.232,7872.893,3776.634,2547.825,2101.546
20,1254.505,1754.404,2431.486,3339.515,2542.774,2214.66,7356.135,3805,5684.362,3573.83,7726.786,3649.884,2619.45,2111.412
30,1268.309,1824.077,2408.216,3318.845,2708.088,2394.629,7346.459,4127.865,5830.638,3505.33,7668.438,3587.045,2508.45,2118.237
40,1296.649,1841.192,2206.946,3416.814,2689.248,2377.289,7457.838,4049.73,5846.565,3481,7462.688,3591.348,2480.912,2191.598
50,1253.34,1857.827,2247.784,3335.722,2655.204,2379.062,7668.514,4234.595,5852.565,3500.241,7649.607,3587.83,2528.338,2145.423
60,1296.588,1845.115,2219.811,3394.948,2683.343,2529.567,7826.216,4252.919,5795.116,3379.25,7550.42,3555.304,2455.562,2116.093
70,1227.649,1869.077,2191.162,3415.268,2655.328,2442.711,7859.919,4092.676,5692.899,3363.384,7605.509,3545.134,2516.6,2056.557
