time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11
-50,13301.959,15312.606,20200.411,15603.68,19805.985,25726.263,4813.718,12944.638,13530.891,10729.701,13156.63
-40,13408.289,15081.832,19981.473,15768.959,19901.365,25417.6,4718.872,12845.971,13479.185,11102.182,13108.644
-30,13316.093,14987.007,19872.616,15663.68,19179.474,25472.85,4726.071,12601.058,13351.521,11443.664,13066.178
-20,13340.897,14981.263,19621.045,15596.588,18749.555,25230.688,4697.949,12713.319,13520.768,11436.861,13320.423
-10,13190.825,15251.577,19658.946,15800.34,19017.635,25232.213,4654.449,12925.13,13367.516,11334.285,13186.024
0,13189.897,15136.036,19921.375,15636.381,19028.08,25421.825,4676.814,12822.565,13326.763,11274.854,13009.538
10,11215.948,12368.628,16985.473,12159.918,17653.927,22327.787,3267.808,10274.696,9574.229,8050.934,10013
20,10349.32,11513.788,16104.268,11578.557,17527.474,21502.388,3437.417,10184.71,9680.943,8445.109,9907.971
30,9893.546,11047.526,15938.179,11226.505,17033.285,20926.888,3479.436,10551.464,9801.714,8496.949,10039.106
40,9661.598,10718.35,16108.911,10834.423,16977.285,20504.7,3509.5,10158.42,9762.398,8367.234,10013.01
50,9767.031,10596.891,15818.098,10951.722,15964.569,20195.225,3589.808,10128.942,9833.984,8243.891,9928.433
60,9750.103,10410.526,15813.911,10964.639,15747.299,20042.263,3560.545,10176.101,9901.75,8169.54,9735.861
70,9396.856,10178.818,15627.938,10492.144,15442.058,20139.088,3588.923,10361.13,9846.599,8085.642,9738.938
80,9435.309,9975.934,15579.223,10498.247,15396.401,20111.875,3489.795,10374.551,9776.667,8018.423,9717.274
90,9343.794,9833.234,15375.92,10230.402,15346.883,20287.213,3444.288,10300.29,9754.073,7931.124,9601.111
100,9380.732,9659.839,15298.107,10011.546,15227.095,19903.95,3507.449,10185.203,9701.854,7603.036,9578.702
110,9227.412,9672.482,15207.027,9995.66,15001.358,19996.412,3443.019,10180.406,9633.435,7572.307,9593.163
120,8939.412,9518.745,15325.786,9751.113,14769.766,19936.375,3522.16,10190.826,9693.31,7415,9643.726
130,9296.206,9329.161,15315.723,9825.691,14429.584,19548.675,3453.981,9997.464,9469.208,7304.307,9454.644
140,8945.567,9414.226,15261.348,9727.485,14760.818,19422.7,3524.929,10050.406,9504.677,7254.657,9393.091
150,8872.381,9219.547,15402.446,9465.052,14591.007,19506.8,3455.179,9848.029,9324.01,7056.883,9350.596
160,8724.887,9092.496,15377.089,9658.732,14151.234,19453.525,3586.654,9849.116,9256.935,7017.803,9438.245
170,8570.464,9031.307,15190.188,9546.784,14052.971,19435.7,3522.173,9873.116,9233.987,6976.102,9344.389
180,8348.041,8893.482,15074.848,9482,14233.131,18999.213,3477.058,9524.551,9147.917,6827.445,9428.159
190,8445.784,8796.314,15065,9290.753,13963.686,19046.375,3453.737,9668.174,9099.802,6674.109,9333.505
200,8611.32,8867.182,15127.446,9353.701,14114.715,19312.162,3404.987,9513.101,8895.224,6629.095,9254.361
210,8722.608,8804.372,14753.982,9121.691,14304.876,18794.987,3380.865,9508.71,8929.331,6552.117,9300.067
220,8550.907,8841.372,15048.696,9197.608,14590.635,19112.213,3411.224,9624.087,8681.521,6457.219,9212.673
230,8403.505,8667.263,14796.241,9199.021,14461.664,18959.138,3421.596,9636.348,8759.521,6279.496,9139.99
240,8271.021,8670.599,14331.732,9275.33,14530.394,19022.125,3382.808,9376.971,8713.773,6230.635,9130.692
250,8169.052,8794.051,14453.464,9171.289,14638.978,18801.013,3331.756,9358.551,8490.352,6085.839,9281.168
260,8371.433,8555.847,14303.804,9181.722,14647.102,18769.175,3359.679,9633.391,8572.49,6143.701,9235.524
270,8089.423,8615.511,14337.554,9190.021,14270.861,18477.037,3311.436,9252.594,8415.698,5937.117,9045.096
280,8051.598,8420.051,14372.366,9034.866,14628.022,18461.263,3269.051,9466.014,8339.62,5838.241,9056.803
290,7986.258,8260.876,14367.036,9008.67,14761.912,18554.088,3347.359,9325.232,8263.375,5743.036,9114.702
300,7903.144,8229.686,14092.723,8913.99,14634.715,18429.075,3289.628,9202.072,8174.857,5687.737,9121.024
310,8051.526,8122.431,13972.545,9015.227,14798.409,18446.938,3237.994,9377.391,8228.292,5606.591,9365.75
320,7767.897,8109.912,14204.938,10221.856,14756.255,18447.175,3259.128,9232.986,8070.354,5542.336,9310.154
330,8024.124,8046.927,13985.652,10302.381,14534.591,18518.1,3261.885,9204.13,8064.654,5475.752,9315.481
340,7769.67,7913.693,14112.205,10207.773,14286.438,18259.438,3283.583,8955.783,7989.664,5482.839,9503.861
350,7614.144,8030.022,14251.875,10252.124,14342.394,18204.2,3335.84,8899.246,8000.214,5510.387,9600.264
360,7557.784,8022.745,14345.08,10338.072,14250.248,18481.438,3238.045,8832.826,7925.286,5485.212,9503.24
370,7372.691,7954.745,14107.955,10192.742,14290.453,18066.588,3279.186,8710.797,7929.128,5411.175,9620.827
380,7388.412,8025.533,14108.804,10161.969,14299.876,18042,3297.269,8688.493,7967.745,5429.226,9726.587
390,7257.454,7910.153,13719.375,9958.268,14261.416,18185.875,3342.846,8684.899,7839.51,5315.657,9761.308
400,7222.979,7941.92,13773.973,10121.773,14141.197,17839.463,3290.032,8838.13,7936.625,5404.869,9830.567
410,7247.227,7843.051,13586.438,9861.845,14091.022,17835.5,3288.59,8611.638,7776.904,5312.219,9805.779
420,7285.021,7818.365,13776.205,9821.485,14357.737,17950.688,3373.244,8700.478,7878.273,5522.299,9755.837
430,7208.32,7750.701,13651.366,9929.557,13923.73,17656.325,3220.442,8544.783,7873.055,5422.613,9316.423
440,7154.072,7874.693,13520.286,10006.309,13925.387,17523.463,3308.833,8631.116,7795.635,5255.766,9170.038
450,7470.763,7826.92,13581.911,10064.845,13942.066,17285.275,3314.09,8604.971,7716.802,5330.883,9094.99
460,7371.072,7767.723,13777.67,10229.598,13987.234,17677.825,3364.455,8650.217,7675.867,5210.263,8834.923
470,7113.546,7734.453,13519.045,10102.299,13914.642,17307.75,3371.372,8829.609,7685.062,5222.825,8905.183
480,7317.113,7745.35,13348.777,10122.856,14146.139,17109.15,3285.429,8661.884,7572.388,5191.438,8830.543
490,7239.093,7688.416,13461.295,10134.835,13913.423,17105.612,3328.635,8840.812,7637.201,5092.876,8958.548
500,7241.021,7795.343,13121.232,10217.557,13727.248,16778.888,3243.41,8911.377,7578.034,5061.168,8835.74
510,7402.536,7777.518,13161.062,10190.866,13619.299,16940.175,3340.929,8852.014,7509.146,4926.453,8946.192
520,7401.392,7646.818,13096.223,10267.041,13835.971,16990.588,3401.429,8838.159,7612.029,4962.715,8889.111
530,7464.155,7575.781,13352.366,10124.959,13916.299,16861.438,3344.545,8917.87,7549.052,4890.555,8908.303
540,7332.639,7470.35,13213.348,10072.948,13471.971,16791.525,3363.026,8757.971,7531.966,4817.489,9064.942
550,7539.526,7558.832,13210.116,10125.299,13782.577,16604.975,3302.904,8750.043,7645.016,4817.015,9050.442
560,7511.412,7577.496,13120.098,10302.629,13683.839,16512.925,3339.141,8686.058,7543.643,4815.453,8863.087
570,7478.155,7576.095,12977.134,10298.701,13877.825,16560.112,3436.122,8588.551,7613.875,4910.912,8833.615
580,7399.474,7725.978,13427.214,10299.381,14210.212,17036.388,3300.564,8556.812,7509.711,4758.752,8795.385
590,7199.546,7528.066,13253.777,10172.34,14234.467,16678.188,3346.417,8691.304,7611.263,4784.635,8984.409
600,7518.021,7548.664,13207.848,10182.443,14205.949,16503.388,3342.814,8551.348,7465.396,4704.073,8715.562
610,7151.062,7547.613,13333.161,10224.856,13943.182,16759.763,3397.583,8508.493,7513.344,4706.65,8973.827
620,7164,7584.044,13149.75,10414.67,13970.496,16504.425,3337.391,8479.913,7472.255,4738.956,9056.365
630,7166.082,7517.328,13185.384,10417.134,13724.861,16545.763,3308.179,8594.754,7526.195,4743.197,8894.394
640,7046.33,7600.453,13028.018,10459.443,13717.723,16390.463,3433.494,8507,7585.508,4806.942,9037.529
650,7101.289,7581.241,12821.857,10465.876,13729.628,16393.838,3364.968,8738.797,7596.159,4713.847,8966.577
660,7097.598,7522.117,12931.741,10506.897,13681.679,16545.675,3360.731,8611.304,7539.526,4700.358,8872.053
670,7100.969,7534.891,12940.705,10404.639,13696.387,16307.138,3382.551,8444.913,7451.646,4770.496,8757.274
680,7176.495,7621.774,12979.018,10516.856,13573.226,16326.188,3374.199,8545.522,7552.273,4748.08,8675.394
690,7245.082,7311.423,13033.134,10326.536,13692.686,16466.263,3395.147,8415.594,7462.094,4667.336,8941.851
700,7477.742,7398.036,13093.821,10221.649,13637.044,16528.675,3342.237,8461.536,7393.523,4663.474,8944.476
710,7332.485,7473.898,13009.054,10390.577,13714.591,16271.237,3321.513,8615.188,7511.492,4696.328,8822.688
720,7614.371,7496.285,12887.929,10297.814,13775.453,16155.55,3314.224,8464.899,7525.466,4659.438,8921.659
730,7563.753,7515.672,12759.42,10304.629,13823.467,16260.65,3266.064,8359.174,7606.849,4672.423,8908.865
740,7975.381,7528.606,12651.188,10154.66,13953.029,16352.1,3369.756,8290.174,7547.284,4613.38,9040.591
750,7813.052,7411.38,12921.705,10075,13947.701,16243.913,3323.84,8471.275,7550.88,4654.745,9097.692
760,7977.608,7519.117,12451.634,10075.031,13835.27,16163.75,3346.045,8300.493,7577.107,4663.942,8908.865
