time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8
-50,9045.34,3902.103,2332.957,3208.385,2632.739,3916.615,3529.392,3509
-40,8957.99,4190.402,2479.507,3256.769,2345.71,3775.929,3280,3314.445
-30,9182.134,4054.041,2516.333,3410.885,2474.333,3936.545,3336.732,3366.869
-20,9067.814,3837.124,2483.841,3478.135,2379.13,3799.295,3317.969,3386.307
-10,8811.907,3874.835,2503.652,3273.75,2389.029,3900.212,3337.351,3411.978
0,8901.918,3705.856,2492.203,3435.596,2531.406,3909.692,3438.227,3444.153
10,8031.732,3335.639,2334.536,3024.038,2208.522,3470.019,2994.629,3061.752
20,7761.784,3301.021,2100,2885.135,2182.391,3291.199,2789.031,3123.679
30,7608.67,3177.289,2015.101,2900.654,1998.348,3345.699,2918.856,2899.102
40,7487.526,3342.062,1941,2722.096,2014.043,3375.532,2845.784,2933.19
50,7520.753,3384.031,1940.696,2569.346,1942.87,3320.897,2808.01,3103.693
60,7472.113,3395.186,1928.478,2559.865,2162.609,3247.429,2868.216,3014.693
70,7556.773,3404.464,1886.217,2489.75,2071.116,3283.321,2847.928,3017.715
80,7565.619,3357.794,2036.957,2435.981,2128.986,3322.147,2838.433,3126.044
90,7515.433,3354.381,1862.087,2525.135,2120.812,3305.397,2660.68,3149.569
100,7585.825,3150.309,1999.986,2319.481,2012.101,3266.769,2803.536,3181.255
110,7535.186,3143.216,2117.435,2326.077,2088.551,3257.724,2862.948,3287.854
120,7497.052,3137.371,1881.623,2341.962,2194.942,3218.462,2768.691,3196.212
130,7474.093,3447.649,2011.87,2312.673,2190.725,3274.173,2817.433,3056.496
140,7510.598,3385.031,1958.725,2320.346,2244.42,3324.596,2756.093,3096.635
150,7395.258,3290.423,2093.101,2178.846,2135.884,3148.615,2725.825,3129.606
160,7315.938,3403,2090.058,2233.788,2213.145,3300.872,2664.814,3032.307
170,7417.959,3361.113,2018.696,2256.481,2171.304,3286.827,2753.629,3091.81
180,7461.763,3248.237,2146.71,2197.173,2211.391,3342.051,2792.237,2983.985
190,7339.784,3320.381,1936.942,2176.038,2085.377,3316.179,2724.835,3021.81
200,7195.619,3213.113,2065.261,2002.212,2162.986,3262.058,2739.794,3117.19
210,7289.485,3351.474,1911.13,1975.577,2124,3201.673,2778.412,2952.825
220,7157.526,3103.928,1867.072,1855.942,2114.377,3188.5,2665.144,2948.073
230,7157.629,3152.66,1913.841,1937.769,1998.058,3192.981,2773.784,2955.482
240,7289.918,3082.948,1890.072,1878.423,1969.652,3147.814,2630.175,3000.759
250,7115.691,2981.433,1932.319,1899.288,2057.116,3076.91,2670.814,2888.175
260,7036.103,3218.536,1869.841,1839.269,1984.304,3005.667,2627.546,2861.139
270,7055.402,3080.206,1790.884,1920.135,2029.826,3201.333,2555.505,2868.445
