time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13
-40,2744.45,3128.855,2684.163,2143.413,1867.116,3048.813,5456.866,2395.412,2262.285,2785.018,2836.088,2666.425,1596.887
-20,2776.587,2947.667,2750.562,2170.725,1861.101,2889.542,5385.413,2510.876,2292.526,2845.812,2792.299,2706.175,1863.262
0,2510.35,2984.029,2695.25,2205.562,1848.188,2991.525,5453.557,2395.742,2264.766,2824.911,2666.562,2511.275,1661.238
20,2603.962,2142.841,1820.762,1802.35,1160.058,2730.927,4802.32,2351.835,2044.657,1812.991,2543.051,2527.762,1410.375
40,2278.75,1603.841,1281.35,1600.262,956.493,2467.373,4639.866,2440.701,1781.328,1614.714,2474.701,2458.8,1302.363
60,1912,1350.899,1261.363,1704.375,924.275,2372.028,4650.814,2304.783,1773.328,1494.33,2386.482,2200.375,1133.95
80,1941.887,1322.217,1160.562,1621.613,953.232,2411.751,4650.072,2218.887,1676.336,1529.991,2375.044,2147.337,1144.363
100,1947.287,1493.942,1335.863,1557.338,929,2420.989,4558.33,2044.701,1582.109,1552.777,2262.328,2276.087,1420.4
120,1809.938,1403.71,1322.8,1515.05,902.116,2247.604,4610.845,2130.206,1670.022,1549.938,2310.387,2248.613,1333.287
140,1925.812,1448.594,1298.05,1753.262,863.145,2285.678,4438.495,2237.928,1659.54,1495.42,2231.657,2175.538,1316.45
160,1742.15,1564.043,1396.188,1652.287,952.362,2302.525,4283.484,2142.144,1544.109,1639.554,2169.263,2161.975,1375.713
180,1567.45,1595.464,1292.125,1864.225,977.58,2300.475,4303.794,2199.464,1614.387,1520.384,2171.299,2020.975,1359.7
200,1620.825,1483.768,1336.512,1788.275,878.406,2234.881,4103.804,2070.144,1563.905,1634.634,2222.088,2102.863,1427.637
220,1588.675,1345.87,1303.65,1704.512,827.435,2263.554,3921.103,2097.433,1488.642,1617.089,1929.161,2116.788,1339.512
240,1493.287,1371.971,1303.713,1879.9,847.159,2246.622,3958.381,2071.515,1602.153,1604.42,1864.292,2044.988,1431.887
260,1534.825,1465.536,1194.25,1648.675,775.261,2335.559,3971.577,2022.845,1501.336,1605.42,1836.036,1893.7,1417.425
280,1532.887,1383.246,1227.463,1730.725,861.087,2232.135,3874.196,2079.917,1560.956,1521.777,1821.263,2000.95,1375.512
300,1445.625,1473.058,1073.863,1728.15,769.783,2323.328,3689.33,1924.381,1511.92,1651.107,1741.248,1824.65,1487.5
320,1478.975,1391.667,1183.062,1786.925,706.464,2312.209,3488.124,1913.526,1440.591,1555.143,1687.328,1853.75,1260.812
340,1437.45,1446.725,1117.425,1841.55,572.319,2363.226,3557.567,1929.165,1590.934,1453.438,1687.635,1748.125,1359.575
360,1542.137,1400.87,1086.963,1742.375,733.536,2346.209,3501.959,1825.392,1615.044,1402.75,1583.058,1877.137,1440.5
380,1514.025,1429.985,1073.75,1678.6,743.58,2390.085,3301.711,1827.516,1567.219,1486.688,1615.518,1852.438,1389.088
400,1462.025,1497.043,1000.838,1748.363,685.928,2324.311,3373.196,1681.371,1601.307,1515.107,1547.591,1915.8,1536.125
420,1440.75,1378.435,1215.412,1866.463,609.507,2395.898,3322.732,1842.505,1584.401,1537.205,1579.993,1819.387,1396.037
440,1452.35,1421.478,940.2,1692.963,692,2397.706,3288.01,1798.577,1627.299,1528.75,1539.526,2011.512,1281.6
460,1349.075,1323.609,1128.588,1649.1,768.899,2469.712,3389.083,1635.144,1661.336,1595.696,1463.088,1728.762,1444.625
480,1425.637,1382.188,942.362,2002.825,803.522,2558.316,3379.866,1735.062,1636.934,1440.723,1529.978,1778.062,1433.25
500,1398.188,1433.29,960.55,1657.675,707.551,2459.531,3245.206,1601.979,1592.109,1497.411,1368.489,1765.637,1362.963
520,1409.05,1353.116,977.013,1803.45,637.565,2547.328,3355.515,1677.124,1785.007,1546.688,1414.547,1731.688,1358.662
540,1369.912,1441.087,900.338,1839.713,631.246,2655.644,3338.175,1736.32,1625.752,1517.571,1369.745,1843.675,1490.925
560,1534.062,1420.145,909.9,1864.562,710.522,2669.802,3199.835,1727.258,1744.022,1545.438,1322.248,1840.45,1404.662
580,1615.812,1399.58,977.463,1715.588,727.449,2768.102,3000.031,1680.144,1641.832,1638.143,1343.044,1782.637,1366.012
600,1641.938,1292.043,992.5,1708.85,696.623,2752.328,2798.608,1525.206,1608.058,1539.25,1318.35,1825.1,1291.662
620,1603.35,1444.159,900.9,1694.425,712.942,2849.401,2744.711,1657.969,1671.934,1595.562,1278.891,1826.475,1346.162
640,1537.575,1531.015,1066.375,1728.213,784.174,3009.542,2831.052,1549.217,1541.277,1578.018,1202.088,1782.088,1283.5
660,1672.088,1389.348,955.888,1734.062,786.464,3116.294,2722.237,1610.598,1588.095,1637.58,1086.971,1719.338,1280.938
680,1599.6,1339.58,1126.15,1655.275,720.841,3171.944,2694.031,1615.258,1655.555,1654.991,1206.905,1799.662,1430.562
700,1467.137,1307.985,1070.65,1750.925,716.913,3213.61,2727.619,1510.794,1623.642,1677.545,1129.642,1742.287,1271.762
720,1507.062,1303.493,1052.238,1701.938,786.217,3299.006,2618.299,1473.083,1551.175,1655.446,1109.504,1772.588,1335.5
740,1482.938,1257.217,1083.037,1612.625,636.261,3319.751,2591.454,1483.175,1675.496,1589.455,1175.511,1819.688,1431.387
760,1425.613,1253.913,990.612,1541.037,734.304,3315.328,2585.639,1452.031,1561.109,1691,1150.358,1802.463,1478.2
780,1494.463,1317.957,992.062,1612.125,739.681,3480.785,2627.526,1518.196,1573.642,1521.518,1150.912,1723.438,1367.412
800,1500.963,1428.145,1082.637,1601.5,743.609,3461.904,2662.196,1421.433,1583.511,1449.098,1185.044,1838.213,1162.3
820,1574.662,1361.275,925.025,1616.938,672.449,3549.503,2598.268,1480.65,1623.292,1528.696,1082.292,1672.125,1313.175
840,1599.512,1295.087,1069.6,1635.525,736.188,3626.254,2650.34,1412.763,1627.701,1499.205,1105.036,1572.738,1247.912
860,1421.287,1383.754,1082.637,1564.613,890.797,3444.006,2739.175,1419.464,1722.73,1528.821,1052.861,1646.113,1175.125
880,1411.162,1316.145,1111.312,1539.188,764.478,3537.028,2686.247,1450.175,1734.803,1603.071,1103.898,1647.525,1240.55
900,1463.738,1293.275,1059.2,1544.512,771.623,3486.904,2736.258,1341.278,1693.613,1519.393,1092.474,1739.475,1301.25
920,1556.512,1348.073,934.025,1520.25,641.536,3572.045,2614.186,1576.247,1702.898,1413.964,1041.131,1798.25,1200.275
