time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17
-40,1751.608,2782.705,1892.835,1730.623,2286.262,2725.066,2574.911,1772.897,1279.774,2990.8,2329.433,2387.841,1735.706,2133.853,2213.308,2420.982,2885.565
-20,1836.608,2661.404,1926.67,1650.159,2374.125,2772.27,2388.134,1688.417,1333.533,3084.588,2315.644,2121.42,1741.141,2111.593,2101.832,2416.321,3038.377
0,1754.34,2601.301,2042.763,1539.899,2354.137,2813.46,2468.893,1591.859,1311.642,3095.062,2351.327,2292.043,1704.328,2084.096,2167.514,2305.473,2831.623
20,976.928,1483.897,1361.289,874.551,2055.15,2076.737,1278.491,791.596,771.131,2265.463,1530.779,1293.536,1017.898,797.475,1699.024,1443.768,2028
40,923.784,1113.776,1148.144,904.319,1790.338,1660.891,1175.152,670.519,660.934,2081.55,1251.356,1290.768,931.949,683.802,1499.822,1264.062,1784.246
60,899.835,1206.846,1168.825,989.159,1795.012,1611.949,1079.009,702.288,607.591,2133.925,1200.909,1426.812,963.056,749.74,1515.837,1210.848,1788.406
80,864.082,1087.705,1177.516,1009.652,1841.85,1583.161,1095.295,708.449,652.482,2109.05,1056.938,1431.275,1033.774,914.328,1585.207,1029.723,1727.913
100,915.155,1076.5,1144.68,1118.188,1852.238,1518.022,960.179,677.058,625.584,2131.688,1048.062,1584.928,1018.458,926,1546.341,949.902,1786.899
120,969.526,1168.494,1215.289,1093.406,1835.275,1567.92,1018.116,708.43,640.46,2053.812,1015.846,1453.594,1079.831,931.22,1578.462,946.75,1792.435
140,879.351,1171.885,1127.928,1165.464,1866.037,1509.679,986.17,723.532,637.73,1923.475,1015.197,1484.362,1075.333,1018.876,1562.106,1002.92,1831.043
160,831.794,1111.513,1160.412,1057.058,1871.25,1433.073,942.75,653.551,671.212,2012.375,954.168,1382.232,1223.763,1062.164,1584.322,894.268,1919.014
180,841.99,1001.385,1127.484,1065.913,1879.95,1391.328,978.634,644.712,639.956,2066.438,870.5,1574.71,1312.503,965.181,1577.87,1041.188,1754.304
200,915.649,997.551,1241.423,1094.87,1918.363,1416.277,911.5,682.506,577.08,2143.875,862.159,1513.565,1172.232,1093.441,1653.837,975.812,1880.855
220,799.402,1140.821,1060.33,1063.551,1849.55,1336.139,954.25,648.699,546.664,2016.787,952.298,1449.493,1270.542,962.797,1680.288,930.464,1662.116
240,879.948,1105.038,1090.68,1004.942,1718.713,1276.664,976.875,624.327,498.599,1935.037,925.447,1562.435,1268.831,849.814,1701.447,991.321,1821.841
260,876.67,1010.699,944.454,983.986,1773.238,1210.423,1104.366,658.077,581.73,1978.25,957.562,1398.058,1238.836,1054.723,1693.688,975.098,1772.159
280,832.639,1040.795,1032.309,985.855,1633.887,1205.905,1078.161,678.974,467.912,1859.612,905.654,1274.884,1273.102,946.299,1643.793,952.929,1748.681
300,818.557,1112.718,1067.495,967.899,1488.95,1129.839,1018.232,672.981,504.752,2066.75,961.962,1272.304,1313.011,1015.458,1720.264,1156.411,1630.681
320,853.041,1053.756,901.113,948.594,1540.025,1147.518,1025.875,672.647,478.117,2011.287,965.067,1397.826,954.486,1122.559,1633.716,1127.857,1816.899
340,783.454,1079.071,924.093,1031.464,1493.025,995.066,1006.75,682.538,471.102,1945.263,891.923,1207.536,1016.548,1113.667,1650.74,1158.5,1566.522
360,825.072,1058.212,867,1114.536,1427.387,1036.489,970.679,591.404,406.766,1829.3,903.389,1226.942,1105.757,1120.989,1585.284,1191.116,1540.797
380,838.464,1129.962,938.474,997.275,1351.925,1056.92,966.25,673.853,448.737,1896.838,1018.231,1361.159,1225.023,918.774,1576.341,1149.161,1522.029
400,866.588,1028.186,787.567,808.841,1344.812,1000.54,999.062,524.327,436.964,1555.575,874.889,1320.783,1017.26,734.169,1506.995,1158.616,1398.899
420,857.557,1052.91,741.866,764.406,1321.4,973.102,987.598,693.596,452.781,1356.7,827.625,1294.087,1098.102,701.915,1539.082,1378.259,1450.42
440,834.763,1021.231,749.052,707.275,1396.725,1028.65,962.893,638.564,417.956,1262,787.923,1343.812,1100.893,656.542,1543.361,1373.464,1461.29
460,954.608,1092.885,792.701,787.072,1395.887,1079.358,1028.848,601.878,388.328,1217.175,827.572,1283.493,1093.215,721.107,1566.087,1398.634,1609.101
480,938.979,1074.763,803.711,805.899,1599.912,1052.387,1047.455,634.545,346.029,1220.95,828.529,1256.362,1011.994,844.056,1488.76,1579.741,1389.507
500,895.124,1017.609,828.309,702.275,1440.037,1016.08,1028.429,592.333,385.927,1088.263,764.12,1160.826,958.316,757.395,1515.601,1637.804,1298.623
520,833.216,1052.128,815.804,844.971,1586.875,1171.956,1001.062,659.224,436.153,1193.388,731.034,1197.783,1154.186,735.565,1415.721,1694.795,1415.116
540,879.474,1022.327,787.897,944.348,1459.213,1163.861,976.062,606.154,377.496,1184.3,776.673,1045.696,1073.429,796.689,1448.981,1650.241,1284.971
560,919.959,1068.192,945.979,920.101,1363.613,1253.504,1008.786,612.263,442.518,1286.263,741.159,1126.942,1073.819,755.226,1490.438,1833.25,1137.957
580,901.443,1017.141,747.928,909.768,1544.188,1217.124,969.536,636.82,418.307,1213.575,762.159,1155.826,1092.395,751.141,1438.005,1889.134,1234.797
600,926.722,1022.699,815.66,838.275,1545.713,1289.036,885.054,622.59,421.599,1171.1,685.683,1089.159,929.791,780.04,1330.654,1931.58,1208.13
620,878.124,1015.551,809.845,792.71,1410.175,1296.241,934.366,531.256,459.438,1198.812,647.245,1102.42,1014.147,743.768,1344.298,1943,1241.739
640,912.495,1041.872,900.66,790.855,1473.775,1264.708,977.536,591.692,447.358,1170.888,755.144,993.246,1038.559,727.475,1383.817,2023.304,1248.42
660,975.278,1108.84,802.577,761.246,1507.525,1322.949,912.196,573.513,397.467,1242.425,778.644,926.174,1140.062,719,1439.106,1993.839,1273.58
680,1016.629,1074.532,843.577,731.188,1594.863,1279.007,782.875,647.795,441.839,1206.3,742.115,1042.841,979.853,684.972,1431.13,1954.491,1231.507
700,965.99,1023.538,880.928,737.551,1650.262,1342.277,865.116,537.423,406.839,1118.713,712.019,976.188,1038.91,623.605,1293.707,1994.732,1215.957
720,998.649,1086.141,860.031,659.667,1764.113,1410.796,995.848,639.449,420.394,1196.725,655.38,1068.884,923.593,644.678,1324.49,2195.554,1128.13
740,1082.062,1023.141,891.433,752.826,1689.738,1426.131,914.866,562.09,389.927,985.075,699.284,888.29,932.497,598.441,1269.014,2123.205,1283.928
760,1054.526,1094.494,850.01,699.42,1585.412,1449.088,951.339,567.84,439.781,1108.362,750.183,978.855,920.322,609.571,1337.279,2166.991,1168.87
780,982.526,1133.103,858.289,714.319,1559.05,1471.883,942.491,522.122,416.482,1169.612,662.779,984.493,844.362,639.814,1305.13,2393.589,1268.014
800,1012.546,1135.173,973.505,862.739,1381.963,1489.766,1108.33,538.519,423.248,1100.812,670.457,819.899,766.424,525.045,1325.067,2153.786,1155.275
820,1044.639,1151.833,1022.938,612.87,1464.125,1608.766,963.321,587.596,402.54,1162.3,670.899,922.58,739,579.989,1271.226,2277.696,1085.449
840,948.773,1112.994,949.784,651.551,1447.488,1598.832,918.188,566.122,478.54,1126.763,683.745,842.188,749.881,499.09,1238.683,1953.08,1194.159
860,1018.464,1089.59,1012.381,662.101,1495.137,1634.124,1003.259,566.205,400.686,1054.225,656.029,910.928,756.503,558.322,1200.683,2033.705,1205.812
880,946.784,996.622,958.691,713.652,1501.2,1567.168,858.491,531.756,429.803,981.188,630.452,852.13,682.814,610.661,1227.678,1731.5,1169.029
900,1124.845,1140.974,890.237,558.725,1520.35,1565.526,866.321,640.647,431.752,980.413,742.12,914.841,795.746,644.655,1172.337,1870.214,1113.87
920,962.598,1120.872,947.309,740.072,1462.912,1732.19,1030.027,582.25,453.635,919.987,692.885,908.116,717.599,612.22,1211.519,1920.491,1188.667
