time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13
-40,9169.717,6943.043,9034.688,6941.476,4438.391,8789.312,6462.26,7705.269,7232.26,3159.92,4346.227,4701.145,7478.879
-20,9188.985,7068.029,8924.058,6970.596,4322.769,8746.533,6752.25,7694.263,7072.211,3017.357,4420.887,4804.898,7361.969
0,9133.745,7149.164,9011.365,7032.978,4345.763,8650.779,6822.51,7820.711,7197.269,2981.509,4288.206,4771.536,7323.48
20,8511.865,5558.846,7343.649,5608.156,4286.109,7384.841,7130.678,5413.417,5528.466,2581.259,4171.763,4004.971,6191.234
40,8523.058,5894.539,7224.082,5808.795,4372.474,7573.091,7010.265,5591.795,5678.274,2609.232,4059.959,3979.536,6506.512
60,8438.183,5917.404,7174.86,5809.596,4415.545,7713.351,7128.49,5703.327,5714.591,2668.723,4102,4024.217,6553.32
80,8395.168,5956.125,7503.245,5775.489,4321.808,7651.284,7094.985,5624.692,5562.101,2773.518,4038.732,3906.304,6537.363
100,8348.457,6049.043,7785.86,5699.858,4307.961,7781.039,6932.034,5670.635,5491.909,2732.107,3984.371,3912.812,6701.07
120,8596.783,5935.938,7777.89,5811.2,4303.558,7767.798,6928.841,5688.365,5423.841,2702.982,3941.278,4060.348,6607.883
140,8625.735,6039.885,7663.659,5689.729,4267.609,7711.735,6764.039,5711.218,5278.716,2715.536,3888.34,3887.073,6536.812
160,8590.02,6065.192,7477.76,5577.293,4263.853,7760.457,6791.765,5653.5,5320.539,2791.447,4019.021,3957.71,6488.09
180,8853.543,6055.63,7465.505,5581.698,4213.82,7578.14,6610.543,5758.404,5209.899,2768.955,3922.268,4057.536,6415.32
200,8705.827,6047.615,7506.086,5619.044,4253.218,7651.476,6651.019,5764.032,5161.562,2733.17,4013.361,4010.13,6446.734
220,8556.625,6030.058,7524.341,5564.004,4266.051,7623.784,6841.827,5674.667,5258.067,2722.795,3933.897,3872.232,6371.766
240,8439.13,5960.274,7543.562,5539.778,4288.583,7606.159,6803.466,5641.711,5243.452,2770.768,3903.866,3892.073,6246.191
260,8674.428,6083.683,7455.322,5552.702,4243.647,7515.36,6831.053,5489.878,5296.793,2676.509,3982.783,3821.203,6217.387
280,8566.855,5987.298,7361.562,5440.146,4155.039,7517.221,6981.12,5262.756,5173.428,2703.973,3904.186,3863.71,6284.785
300,8644.452,5889.918,7208.688,5422.884,4244.115,7485.789,6863.765,5279.083,5275.851,2646.438,3954.505,3905.725,6297.742
320,8597.115,5833.726,7022.216,5369.916,4224.917,7555.697,6909.885,5234.442,5184.851,2628,3868.536,3915.638,6342.559
340,8597.14,5934.841,7147.442,5381.805,4243.859,7448.875,6803.649,5236.84,5189.841,2524.866,3912.887,3856.913,6281.18
360,8561.015,5830.577,7316.572,5345.898,4091.269,7559.495,6678.688,5173.647,5295.125,2485.322,3890.928,3936.884,6291.816
380,8568.851,5698.601,7337.601,5284.547,4169.82,7300.01,6671.856,5252.077,5382.481,2427.777,3886.99,3943.029,6322.191
400,8377.462,5799.577,7055.755,5305.929,4183.404,7395.88,6772.582,5075.756,5287.87,2492.822,3942.361,3857.638,6272.285
420,8305.952,5680.216,6840.995,5445.835,4048.218,7344.591,6727.865,5109.891,5264.668,2461.161,3871.753,3913.42,6218.902
440,8536.49,5691.995,6899.49,5352.511,4105.506,7480.005,6846.226,5090.372,5342.173,2421.768,3894.144,3961.406,6169.516
460,8578.197,5767.351,6987.125,5491.013,4126.558,7429.202,6558.269,5069.532,5336.673,2482.241,3802.557,3785.435,6203.555
480,8154.798,5723.61,7015.231,5417.649,4091.692,7392.596,6668.086,4987.244,5251.745,2476.268,3730.783,3727.739,6181.562
500,8072.188,5618.61,6870.812,5577.916,4160.718,7211.231,6597.625,4937.724,5372.875,2430.428,3698.258,3781.348,6205.887
520,8000.836,5516.851,7152.89,5582.414,4158.083,7341.942,6416.452,5050.596,5461.298,2518.553,3757.742,3773.159,6166.766
540,8037.442,5561.625,6799.61,5452.911,4107.41,7243.476,6281.966,4901.897,5220.154,2576.741,3684,3849.536,6162.953
560,7912.822,5314.649,6969.688,5426.524,4122.051,7407.12,6612.961,4912.968,5451.048,2500.607,3733.763,3653.971,6235.543
580,7963.235,5430.63,6925.067,5398.582,4029.814,7292.043,6741.981,4800.333,5488.14,2597.67,3772.588,3697.029,6254.906
600,7830.582,5239.553,6720.947,5324.689,4072.218,7165.5,6438.207,4973.372,5459.36,2578.402,3705.34,3629.42,6223.66
620,7831.591,5359.543,6544.519,5299.436,4080.244,7134.25,6319.64,4891.372,5428.856,2602.973,3771.887,3639.696,6059.648
640,7876.899,5358.635,6619.135,5413.129,4016.622,7249.221,6470.726,4866.244,5380.096,2614.411,3697.691,3805.116,6187.023
660,7709.428,5282.207,6654.524,5479.982,4144.769,7293.274,6564.981,4970.987,5344.683,2573.58,3683.381,3677.13,6167.992
680,7746.784,5238.38,6518.332,5336.747,3948.231,7303.817,6530.284,4931.551,5288.515,2621.027,3768.113,3590.29,6251.867
700,7677.005,5211.558,6615.553,5319.195,4140.353,7477.077,6624.043,5024.731,5282.606,2572.893,3814.32,3661.898,6322.43
720,7649.058,5156.178,6348.851,5289.902,3991.846,7308.365,6860.322,4781.109,5275.558,2596.947,3790.515,3686.217,6246.523
740,7775.976,5268.644,6294.423,5514.738,4108.135,7487.529,6876.601,4745.122,5244.399,2742.973,3857.041,3686.942,6273.156
760,7907.183,5057.303,6274.697,5288.311,4059.532,7379.61,6851.312,4678.096,5280.817,2773.759,3819.835,3610.217,6284.031
780,8046.784,5016.265,6305.961,5342.2,4046.327,7214.226,6903.356,4767.436,5288.062,2777,3728.794,3723.029,6197.133
800,7947.048,5050.442,6181.356,5361.227,4153.596,7306.745,6929.265,4876.353,5279.789,2768.848,3654.495,3620.536,6170.586
820,7866.101,5134.812,6213.836,5404.698,4066.282,7309.519,6808.284,4824.718,5228.096,2714.42,3772.289,3624.275,6076.141
840,7899.515,5316.74,6258.192,5284.351,4029.711,7276.178,6826.779,4818.846,5379.452,2877.839,3801.938,3690.855,6034.766
860,7963.654,5280.562,6242.178,5289.16,3934.013,7131.452,6955.582,4723.186,5338.365,2949.67,3667.093,3806.159,5994.859
880,7950.192,5350.89,6266.168,5279.609,4005.686,7159.298,6872.399,4885.776,5349.11,2925.018,3795.423,3853.043,5968.402
900,7734.135,5330.341,6387.543,5313.671,4139.526,7285.75,6887.481,4770.276,5366.726,2887.366,3753.845,3797.203,5919.691
920,7663.399,5341.966,6238.942,5309.462,4064.115,7240.64,6758.24,4789.494,5420.336,2895.509,3803.464,3827.725,5876.523
